ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-18,-15,1,0,-2,-3,-1,41
15,8,4,-1,0,0,1,-2
-19,-5,3,0,0,2,2,-5
-2,5,-4,-1,-2,-3,-3,-3
4,8,6,4,1,-1,-1,-17
2,13,4,1,-2,-3,-1,-13
32,-15,-1,-2,-1,3,1,5
0,12,3,4,3,3,3,0
-40,-35,-12,-6,1,0,-5,-14
-2,27,11,10,1,2,8,12
12,28,-2,-5,-1,-1,-2,-12
2,-3,-2,-2,-3,-1,1,10
42,23,3,1,1,2,-3,4
26,-6,-1,-4,-1,0,1,1
10,-2,0,1,-4,-3,0,14
3,5,-1,1,2,0,3,5
7,9,-4,-5,-4,-5,-1,-1
-5,1,1,2,-2,-1,-7,-9
16,-12,0,1,2,-1,-1,-1
-25,6,7,2,2,2,-1,6
-2,-6,-5,-2,-3,-2,-1,-6
0,0,1,-4,-2,-2,-3,1
-47,-21,0,3,5,2,3,-4
-22,-6,0,2,2,0,-1,-15
-29,-35,-7,-3,-2,0,-1,-9
30,-16,-3,1,2,1,-2,-15
-2,26,4,2,2,-1,-1,3
12,6,3,0,-1,0,5,5
-17,16,-7,1,3,4,1,-6
-23,-20,0,-2,-2,-3,-2,-7
8,3,4,2,-1,-2,0,0
11,-3,-7,-5,-3,-4,-3,2
0,-3,4,-1,-3,-3,0,-8
14,41,1,-1,-2,-2,-2,12
1,13,1,3,0,-2,-3,-9
41,9,5,-3,0,0,2,12
9,6,12,4,4,3,0,-4
-10,21,1,-3,-2,-4,-5,-12
1,10,1,-3,-3,-2,-4,-6
24,-8,-5,-3,-2,0,-2,-12
-4,7,0,1,-2,0,2,9
4,-8,-5,-1,-2,-4,2,9
-8,-27,-5,0,-2,1,-3,-3
-26,-6,-5,-1,-2,-1,2,3
-1,-10,-2,1,-2,-2,-7,-3
4,-14,-4,-2,0,-3,-5,6
9,25,5,4,6,3,2,6
-1,2,-2,0,0,-3,0,8
-26,-15,3,-2,1,-1,-3,-10
-14,-5,2,0,-1,-2,-4,1
