ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-9,11,3,2,0,2,1,-11
-7,-11,1,0,-2,-4,0,-3
4,2,-1,4,4,5,3,4
-10,7,2,2,0,0,-1,-14
46,-5,-6,2,0,1,-3,-8
-4,-5,-12,-5,-7,-7,3,-3
-22,22,-5,-10,-9,-6,-8,-1
-11,2,6,6,5,5,1,-9
0,-2,2,1,2,3,7,15
13,-1,5,-1,1,2,-5,-8
-4,-5,-3,2,-1,-3,-3,-7
0,-15,0,2,1,-1,-1,12
-15,17,6,0,2,0,-2,-37
-4,11,-15,-8,-7,0,11,40
-16,-27,-1,-1,-2,-3,-5,-7
-11,-9,-3,1,1,2,-1,0
17,7,6,6,0,3,3,10
10,0,3,1,2,0,-5,-11
3,0,-4,-5,0,-2,-3,-4
13,-4,-1,-1,-2,-1,-4,6
-2,-6,-2,-6,-2,1,7,13
5,0,6,-3,1,1,-2,-6
8,3,-1,0,1,2,3,7
-2,-3,2,0,-1,-2,-5,-13
-2,1,-4,-2,-2,-1,3,10
20,8,8,1,1,-1,3,1
-52,25,-2,-4,2,1,-3,-23
-20,1,0,1,-1,-1,-6,-26
13,20,5,6,2,-1,7,61
-10,-4,0,4,7,7,2,9
19,-7,-8,-4,-5,-6,-5,14
-4,0,4,-1,0,-1,2,3
-15,-20,-9,-5,-4,-3,-11,-23
-4,-7,-4,-1,-3,-7,2,-4
16,-5,4,3,2,4,6,19
0,20,9,3,5,6,1,7
14,-7,-5,-4,-4,-2,2,-25
1,9,3,-4,-1,-1,-4,16
18,3,-7,-3,1,0,-1,-11
-86,-7,2,3,-1,-3,-4,-14
9,-28,-9,-2,-1,-2,-1,-3
-4,-11,-8,2,-2,0,-5,-16
11,17,12,7,3,-3,0,-4
35,13,-1,-1,2,0,-2,-3
-3,-6,-5,-5,-6,-6,-5,10
-35,-4,-3,-4,-4,-1,0,-22
12,-13,-2,0,-1,1,3,5
4,-19,-10,-4,-1,-2,2,-3
-17,-2,3,3,1,0,1,6
34,-12,-1,0,0,-1,-7,-2
