ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1,0,1,-3,-2,-4,-4,-14
12,6,4,0,1,-1,-1,0
-16,1,0,1,-1,-3,-12,-16
-1,-5,0,2,-2,-4,4,8
-7,-4,-3,-2,-2,1,-2,-4
14,4,-1,1,1,1,5,2
-5,-3,-1,0,1,4,-2,-4
17,3,-3,-1,-2,0,7,5
-35,20,8,0,2,-1,-7,-13
4,7,-3,-7,-3,-3,-4,-19
37,39,7,7,2,-2,4,7
-19,-32,0,-2,-2,2,1,-6
-2,-6,-5,-1,-2,-3,-10,-8
5,-12,-2,-3,-2,-4,-1,-6
-4,17,3,0,0,-2,-2,-5
9,9,-3,-2,0,2,-2,-9
0,1,1,4,2,4,8,8
0,-15,-2,-3,-2,-2,-3,-3
-20,-23,-7,-1,-1,0,1,-26
3,19,-11,-8,-4,2,14,10
19,2,-4,-1,0,0,-9,-5
6,9,4,1,2,3,1,7
12,-6,1,-1,-1,-2,0,5
-31,-6,-2,-1,0,-3,-8,-18
19,15,4,0,2,1,9,11
-9,8,-3,3,-1,-1,-2,12
-5,5,-1,-3,-4,-5,-6,3
-1,-24,-3,-2,0,-1,-5,-14
-22,15,3,4,4,1,-2,21
0,-3,-3,2,-3,0,8,1
-5,0,-3,-3,0,2,1,7
8,17,0,1,-2,-4,-7,-4
-8,11,6,3,1,-3,-1,-4
-8,-6,-4,-9,-4,0,3,21
-14,-9,-4,-2,0,1,-2,-21
22,19,6,-1,-1,0,5,16
-7,-13,-9,-3,-2,1,-3,-11
9,-1,-1,1,0,-4,-2,5
0,0,3,1,0,-2,0,4
5,-9,3,3,2,1,-3,-11
18,-9,0,-2,-1,-3,-1,1
-4,-13,-2,1,2,0,1,0
-8,2,-3,-3,-1,3,1,9
-3,-1,-4,-3,1,-2,-4,-11
0,-31,-9,-3,-3,-3,-6,-3
12,0,-2,-3,-3,-3,5,-12
-14,-4,1,0,3,-1,-6,-2
3,-5,2,1,0,0,-2,12
7,3,-4,0,0,3,4,6
-1,4,5,2,-2,-3,-7,-11
