ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
12,11,5,2,6,-9,-128,9
-13,-7,-5,-4,-9,4,113,-8
1,-3,-2,-1,1,1,-99,-3
-3,-3,-3,0,-4,4,63,4
-3,0,-4,0,0,-9,-94,-25
4,3,2,-2,2,6,-16,0
-2,-8,-3,-3,0,-1,9,-8
0,2,-2,-1,-4,-6,-36,30
-2,1,4,1,0,-4,-20,-21
1,1,-5,-3,4,-1,23,-13
-4,-10,-3,-1,-8,-2,60,16
3,8,4,0,2,-11,-81,-4
-8,-2,-2,-2,-4,3,32,-25
8,1,1,4,2,-8,-90,36
0,5,-5,-2,2,6,45,-27
-5,3,-6,-6,-7,-14,-60,6
0,-11,-4,-3,-1,3,52,6
-4,-5,0,0,-5,-4,-10,9
0,-6,-5,1,2,-5,-30,8
5,5,3,1,3,2,-83,-44
-5,2,-4,-6,-5,12,88,27
0,1,1,0,-2,3,-50,0
-1,2,3,-2,0,-1,4,-17
1,0,-2,-1,-1,-4,-13,14
-4,-8,-3,0,-2,-1,3,-9
0,2,2,-1,0,-3,-10,-27
3,-2,-3,-1,-1,3,21,60
-1,-7,-5,-1,-2,-1,77,-3
5,12,-1,2,2,-1,-13,5
-1,-15,-3,1,-4,4,8,14
-4,1,-3,-2,-5,-1,-31,-19
-3,-5,1,4,0,4,9,-3
-1,1,2,-3,-2,-4,-87,-3
0,5,-5,-1,5,3,81,-9
2,1,0,-2,-2,-3,-45,53
-4,-8,-7,-2,-4,-2,38,-9
5,4,1,3,1,-1,-80,-8
-5,-5,3,1,-1,4,53,23
-3,-9,-3,1,2,2,-6,-18
0,3,2,-1,1,2,12,-5
6,7,2,3,5,-2,-73,8
-1,2,-1,-4,-7,-4,-6,-10
1,0,3,1,2,-1,25,14
-3,-2,0,0,-3,7,4,6
-5,4,-1,-3,-1,-5,-19,-18
4,-10,-1,0,4,-2,-27,49
-7,4,-1,-2,-6,-4,-10,-38
2,-2,0,-1,1,2,-17,6
4,1,0,0,2,-1,-60,6
-1,2,0,-1,-2,0,-21,13
