ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-6,-9,-1,-2,-1,-1,-1,-9
17,5,1,-1,-2,-3,-5,3
13,13,4,-1,-2,-2,-3,-9
14,2,-3,-4,-2,-1,0,-5
-24,-20,-6,-6,-4,-2,-6,8
10,9,2,0,-2,-1,-1,-10
-5,-21,-7,-2,-3,-4,-1,0
11,17,4,-3,1,4,7,19
15,1,3,3,2,3,0,16
-33,-39,-2,-1,0,-4,-2,41
16,18,-7,2,-1,1,-2,-4
-5,-23,-4,-3,-3,-4,-2,0
-4,9,-1,2,1,3,1,-2
-33,-1,-5,-4,-3,-4,2,-1
-42,-7,-1,-3,0,0,-5,-22
-15,2,5,7,2,-1,2,1
-20,-21,0,-1,0,-2,-2,11
17,-3,-1,1,0,1,2,-4
-5,3,4,-2,-1,-1,0,6
-2,2,-6,-3,-4,-3,-5,-11
-3,0,5,4,2,2,4,-8
12,27,4,4,2,-3,0,21
42,9,-2,-2,0,1,2,30
12,-17,1,9,-1,0,1,0
2,10,-5,-3,0,-2,-4,-11
6,-1,-3,-3,-5,-2,3,-6
23,21,0,-1,1,-2,-5,-40
10,12,2,-2,0,-1,-9,4
24,16,1,4,1,2,5,6
2,7,-1,-2,-3,-1,1,3
-1,-12,2,0,3,0,-9,-1
-23,1,-5,-5,0,2,14,0
-3,-4,1,0,-2,-1,-2,-5
-50,5,-4,0,-1,0,-6,-27
-8,6,2,10,6,5,12,21
8,6,8,2,1,-4,-4,24
-36,-6,2,-1,-1,-2,-3,18
54,13,-4,-5,-5,-3,5,-3
-33,-14,-19,-16,-14,-12,-7,16
-22,-19,-5,-1,3,1,0,-6
14,10,3,-3,0,1,-2,3
27,-35,-7,0,-1,-2,0,-27
-6,-2,11,6,-1,0,8,-6
21,17,5,1,1,1,-4,-2
-18,-16,-7,-1,-1,1,-2,-27
-13,16,8,1,5,4,2,8
29,3,-1,-2,0,2,2,5
-18,-16,7,4,2,2,-3,21
42,-5,1,-3,2,5,14,12
-2,5,2,2,0,-1,4,11
