ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-3,-8,-3,-1,0,2,4,-8
13,5,1,2,-1,2,-4,11
-13,7,-3,-7,-5,-6,0,13
-14,-4,-4,-3,-3,-3,-8,-13
21,-8,-4,-5,-4,-5,-3,42
-11,-2,-1,0,0,1,-4,-22
10,-3,-1,4,0,0,-5,-13
-1,10,2,-1,0,3,8,22
-16,-15,-7,-2,-3,-5,-9,-7
-3,13,-5,-3,-1,-2,-2,10
-5,-8,0,4,4,4,-4,-11
6,1,0,0,-1,-4,2,-6
19,14,6,2,2,1,1,-5
-11,1,5,5,0,2,-1,-2
5,-4,-9,-4,-1,4,-5,-12
3,2,1,0,2,0,11,43
11,2,-2,-1,-2,-3,-5,-23
30,8,3,2,-1,-3,-12,-3
9,8,4,1,1,1,7,5
3,6,4,-1,-1,-2,-9,-23
-9,-3,-1,-1,-1,-2,0,0
3,0,-10,-3,-3,-3,-6,18
13,-4,2,-2,2,4,10,42
-7,-4,-3,-2,-1,0,-1,-24
-3,-4,2,2,0,0,-11,-20
-5,-4,-1,-1,1,-1,11,21
-2,0,0,1,-1,-3,3,-4
5,1,-1,-2,-1,-1,3,29
0,1,-3,-9,-5,-5,-15,-22
7,14,0,1,-1,-1,15,1
1,-3,-3,-2,-3,0,-3,-1
7,6,3,3,1,4,1,8
-13,-3,-1,4,1,1,-1,-7
24,7,2,-4,-2,-3,-13,-26
-4,0,-2,3,1,-1,8,5
3,2,-3,-1,0,-2,0,-2
-19,-2,2,4,3,-1,-4,0
-25,-3,-4,2,-2,-2,1,9
-19,-20,-10,-4,-3,-5,-29,-37
18,-10,-2,-3,0,3,24,30
13,8,9,4,1,1,-1,-12
-7,-1,-3,0,0,-1,12,28
-29,-23,-4,-2,-3,-4,-12,-35
-8,1,1,1,1,-1,0,4
6,3,2,0,0,2,-4,1
0,-7,4,-3,-1,-2,-1,-6
12,11,1,1,1,3,9,1
-8,-1,1,1,0,1,-6,-12
12,1,2,2,0,-1,8,7
-13,2,-2,-5,0,-1,-8,-17
