ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-1,1,1,-1,0,3,0,1
0,-1,0,2,-9,-1,-1,-1
-1,-1,-2,5,1,1,1,2
1,-1,-1,0,7,2,2,0
0,-2,-1,-5,-2,-3,-2,-2
1,-2,-1,-6,-9,1,0,-1
2,1,-3,-4,6,-2,1,-2
0,-2,-3,0,-2,-4,0,-2
-4,-1,-2,11,-6,-3,-2,1
-2,2,1,0,3,2,1,2
0,0,-3,-13,1,2,0,2
0,-1,4,-2,-6,-3,-3,0
-1,0,4,2,9,3,1,0
-1,0,3,1,4,-1,-2,-3
-2,-2,2,5,-3,0,-1,-2
-2,0,-1,-2,-6,-1,-1,0
-1,-1,-2,-2,-2,-3,-1,0
-1,-1,-1,0,1,-2,-2,2
-2,-2,-2,6,2,-3,-2,-2
-1,-3,-7,-8,6,1,2,1
1,-1,0,-5,7,1,1,-1
3,2,2,-5,-1,0,2,1
1,1,2,2,2,-2,0,-1
0,2,3,0,4,0,-2,-1
0,1,-5,-5,-4,1,1,-1
-1,-1,-3,2,-3,-1,0,0
0,-4,1,-1,-1,-2,-3,1
0,-1,1,8,-3,0,-1,0
1,1,-2,3,-4,2,0,-2
1,-2,0,-3,2,1,-2,-3
-2,2,-1,-3,2,1,3,-2
-1,0,0,-6,-5,-3,0,-1
-4,-2,2,-4,-6,-4,-2,1
-1,0,-2,0,3,-2,0,0
-1,-1,-1,4,0,2,1,0
-1,1,-2,3,0,-4,-2,-1
1,0,-2,1,4,1,1,-1
0,-1,-9,-3,3,-2,1,-1
-2,-6,3,-6,-11,-2,-2,-2
1,0,1,-2,0,1,-2,3
-1,-1,-3,-10,-2,-1,1,-3
-1,-2,4,12,-4,0,5,0
1,1,-3,1,-13,-5,-5,0
0,1,-4,-1,20,11,3,0
2,-1,3,7,3,-2,3,1
1,0,-1,1,4,1,-10,-5
0,-1,-1,-9,2,2,22,7
-4,0,2,2,-4,-6,-1,-7
4,5,-4,-8,9,5,12,17
-8,-3,-1,-2,-9,-4,25,-24
