ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
23,0,1,1,-1,3,65,29
-21,-6,-2,-4,-3,-2,30,-3
12,-1,-2,-3,2,-3,-9,-9
-4,-2,-1,1,1,4,17,-33
14,-2,-4,0,-3,-4,-47,20
3,4,4,0,-2,-4,36,-10
-6,2,-1,2,-2,-1,26,57
-4,-3,1,-1,0,-2,-21,-31
-19,2,0,-3,1,0,2,0
11,2,-4,0,2,-2,-41,-56
-13,-11,0,0,1,9,24,63
-5,-1,-3,-2,-4,-8,-89,-5
37,3,4,-2,2,7,76,5
-18,-7,-3,-1,-9,-11,-24,7
0,5,0,0,0,-1,-84,-43
2,-4,3,0,1,2,-25,8
-7,-2,-3,-3,1,2,16,13
-4,-6,0,-3,1,0,-29,3
9,3,1,-4,-3,-5,21,-14
-2,0,-2,0,-1,-1,23,21
-3,-2,-2,0,-2,-2,-18,-20
-6,4,5,3,2,3,29,0
-1,-2,-4,-4,-2,-4,-52,-15
4,2,0,-2,-2,-4,8,-6
4,-5,1,1,-1,-3,-12,-2
-4,7,4,0,-2,0,16,-32
9,4,2,0,-4,-2,-68,-23
-21,-3,-3,0,2,-4,-61,-2
-11,2,-2,1,1,1,37,3
11,6,2,3,4,6,72,-4
-13,-14,0,1,-3,2,56,2
1,1,2,0,0,2,59,-23
-1,-1,-2,-4,-5,-2,-2,-20
4,1,1,2,5,2,-109,10
8,8,3,2,5,10,82,0
7,-2,-3,-1,-8,-1,-9,27
-5,-3,1,-1,2,1,-18,-13
6,2,-1,-1,-1,0,29,-17
1,2,0,-4,3,-8,-23,5
22,2,-2,1,-1,0,-23,-9
-3,2,1,2,0,-2,-24,13
-6,-7,-5,0,-2,-3,-9,1
21,7,3,1,-2,-1,-26,-1
-22,-1,2,0,2,0,10,-11
-2,-6,1,-1,1,-1,-7,-3
8,1,1,0,3,4,-63,13
8,3,1,-5,-3,7,103,-33
5,8,-3,1,-3,-1,6,49
-11,-4,-3,-2,-1,-1,-7,-19
-17,-10,-7,-4,-5,-4,7,16
