ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
13,0,-3,-4,0,1,0,4
-7,-6,-6,1,-1,-3,-8,1
-2,-10,0,3,0,-2,0,-1
9,-15,-2,5,2,-1,-9,-11
-26,1,-3,-1,-4,-3,13,44
-43,-14,-4,-8,-3,-3,-5,-18
13,21,0,-1,-3,-3,-2,-2
19,-3,0,-1,0,-1,-1,6
-2,0,-2,-1,-2,-2,-1,-11
21,-9,-6,-3,-5,-2,-2,1
-18,-6,-2,0,-1,-1,4,-10
-13,6,5,-1,-3,-5,-9,-11
3,-5,-2,-2,3,4,-2,10
7,0,2,-1,0,1,1,-3
-1,-2,8,2,1,1,-2,2
-10,6,-14,-1,-5,-5,-2,-2
-21,-1,-1,-1,-2,-3,4,19
-3,-4,-2,2,0,0,0,-11
10,15,4,0,0,1,0,-2
-32,-13,-3,0,2,5,7,26
10,-6,-4,2,3,2,-3,-20
4,24,1,1,0,0,-3,-15
-26,-10,-1,1,-3,-6,-5,-12
20,5,0,1,1,0,0,-7
39,15,3,-2,1,2,-2,-7
-23,-23,2,-3,-2,-2,1,14
-21,-12,-4,0,-1,1,-3,-6
-3,-9,-8,-3,-3,-2,-2,-17
-19,-37,-5,-1,-1,-3,1,-1
22,5,4,2,2,2,-1,1
-23,-7,-5,-4,-1,-1,0,7
-13,-5,0,-2,3,2,0,-14
-10,1,-5,-4,-3,-5,-3,-6
17,7,-4,0,-2,1,-1,9
-3,-5,-4,-1,2,0,6,32
-17,-12,-1,2,1,2,-4,-1
-6,3,5,1,-4,-1,2,-4
-4,-4,-6,-3,2,1,0,-1
4,-8,-5,-4,-2,-1,-3,-9
12,7,4,-3,-3,-1,1,6
35,-17,-12,-4,-4,-4,-4,23
-5,-20,-7,1,-1,-1,5,-6
-6,-3,0,-3,-4,-3,-5,-5
5,16,4,0,-3,-4,-4,3
-7,4,0,1,2,2,-5,-10
-21,-22,1,0,2,1,0,7
-10,4,2,0,2,2,3,-7
29,7,-1,-2,-2,-2,-10,-15
0,4,-2,-1,-4,-4,-2,7
7,5,2,1,0,1,-4,-1
