ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
19,2,2,0,1,1,15,8
-47,-3,1,0,4,11,82,-72
8,0,0,0,2,-2,-45,99
2,1,-1,-2,-3,-2,5,-31
9,2,-1,1,-1,0,-14,-7
-1,0,0,1,0,-3,-52,-18
-8,0,-1,1,-1,-4,12,-18
-41,-7,-4,-3,-3,2,35,43
41,4,2,-2,2,-4,-98,-2
3,0,2,-1,-3,0,58,107
-4,2,1,0,1,3,7,-30
20,0,-1,0,1,0,-37,-19
26,1,3,1,-1,3,69,-50
-21,-1,0,3,1,4,-75,-18
-29,-7,-3,-3,0,-2,15,60
11,1,-4,-3,-7,-5,-35,-33
-23,-4,-3,-1,-1,3,-24,8
2,1,0,-2,-2,-4,-9,-44
-13,-4,-2,-2,-2,-5,10,-64
-32,2,-2,-1,7,2,-88,-39
21,9,4,-2,3,1,-59,80
-12,-6,-3,-2,-2,13,77,7
-2,-1,0,0,-5,0,-79,-86
23,-2,3,-1,3,-6,-12,-3
-22,-5,-4,4,-5,6,-9,28
11,0,0,-1,1,-9,-37,-21
-1,3,-1,-6,3,-8,-83,-44
79,-2,-4,0,-9,6,68,32
-38,-4,-1,1,-1,-5,-37,-24
0,1,-1,-1,-2,-11,-82,-35
24,0,-2,1,-3,0,101,76
8,5,3,0,-3,-1,-40,-31
-14,-7,-7,-4,-2,6,28,45
29,4,-1,-2,-5,-9,-31,15
18,1,1,1,2,-1,-23,26
-15,-2,0,0,3,-3,-26,-2
-13,-4,-3,-3,-3,-3,15,-2
15,6,2,-1,3,-1,-11,15
7,-1,-4,2,3,3,67,6
-54,0,3,3,4,6,-51,14
-15,-3,-1,-4,-4,-5,119,-9
-26,2,2,2,2,-4,-70,24
21,4,2,0,1,-1,-51,-15
5,-1,1,0,-5,-3,-119,-85
30,-3,-3,-7,-5,-5,100,34
-9,-5,-7,-3,-5,-1,-86,-3
1,-3,0,-1,2,-4,73,-33
-21,-4,-1,0,3,-1,6,-77
7,0,4,1,0,-10,-42,4
17,4,2,1,-2,5,-2,20
