ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
21,11,8,2,1,-4,-5,16
3,-3,-1,1,0,-1,1,-11
-10,-7,-3,-2,-3,-4,0,-11
9,15,1,-3,-4,-5,-3,-5
-14,-26,-5,-1,1,1,-4,-18
21,4,3,-1,-3,-3,-4,13
-1,13,2,2,1,2,7,5
-5,-3,3,1,1,0,-3,-4
-7,-4,-5,0,-1,1,3,3
-2,-3,-1,-3,-1,-1,2,0
-11,6,1,0,0,2,4,-8
15,-3,-4,-2,1,-3,-2,5
-4,-7,-8,-3,-1,-2,-5,-17
-21,0,5,0,0,0,-4,10
27,7,3,5,6,8,19,18
13,12,-8,-7,0,-4,-11,6
-13,-26,-5,-3,-3,0,-5,-4
8,-1,3,0,-1,-3,-2,-8
-9,3,4,1,0,-1,-1,-12
-10,-34,-7,-1,1,2,3,4
4,10,2,-1,0,1,2,20
-6,-4,-5,-4,-1,0,-1,1
4,-7,-1,-1,-3,-4,-6,0
-13,-11,-1,2,0,-1,-2,1
4,6,1,4,4,5,7,-6
4,-6,-6,-1,-2,-1,2,0
8,4,1,2,1,0,-1,1
-30,-1,-1,0,-1,-1,0,-6
4,3,1,-6,-3,-6,0,-3
21,13,3,-2,-1,-1,-7,-21
14,9,0,-2,0,1,10,19
0,1,-1,0,-1,4,10,5
2,1,-7,0,-2,-1,1,0
0,-6,0,0,2,2,13,21
4,-12,1,-1,-2,-3,-11,-20
-55,-30,-7,-5,-3,-3,1,-1
0,6,-1,1,2,1,5,1
-3,4,1,1,2,0,-2,5
-11,-14,-4,1,0,-6,-6,1
-1,-9,0,0,0,-1,-1,-2
-8,-2,4,0,-1,1,-1,6
-19,-12,-3,-5,-4,-1,-4,-11
9,8,0,-1,0,2,0,5
-13,-2,-2,1,-1,-1,-3,-5
13,6,-3,-1,0,0,-3,3
12,-11,7,1,-3,-4,-17,-28
-12,-6,-4,-2,-3,0,18,27
28,10,6,4,2,-1,-1,-2
6,1,1,-1,2,1,3,-1
-20,-17,-4,-1,0,-1,-3,0
