ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
10,-19,-10,3,-2,3,2,-22
8,0,0,-3,-2,-1,1,14
-7,-8,-4,-1,0,-1,-4,0
7,0,1,0,-2,2,19,18
16,-6,-3,-6,-1,-4,-5,8
6,7,2,2,3,3,-5,-2
-45,-25,-1,3,0,0,1,-7
12,9,1,3,3,2,1,14
-8,0,-3,-5,-4,-6,-3,0
-5,-12,-6,-2,-3,0,0,5
44,35,9,-2,-2,-4,-7,-4
4,13,1,0,-1,-1,-4,-15
-9,-2,0,-1,0,-1,-1,5
-2,23,8,-1,-2,0,-2,-6
-4,-12,-6,-2,0,1,1,-5
-15,-14,-4,-1,-2,3,1,4
38,8,6,3,4,6,3,2
35,33,5,-1,0,-1,-10,0
-13,-23,2,1,-1,-1,6,20
-14,-16,-7,-1,-1,-1,-3,-5
-15,-1,3,2,3,3,2,-13
15,-13,-4,-3,-3,-2,0,-10
-13,-15,-13,-4,-3,-6,1,14
6,-2,-3,-3,-2,-1,-6,-20
0,8,5,-1,0,-1,-4,9
-18,-8,-2,2,4,0,2,-10
-25,-16,-2,-1,-2,-3,-3,2
5,0,-2,-1,1,-3,-5,-9
-11,3,-5,-4,-4,-5,0,-8
-25,-17,-7,-8,-5,-7,-4,-7
9,-1,-1,-2,1,1,4,10
63,24,5,3,1,0,-13,-20
-24,-7,1,0,1,3,12,14
-11,-2,1,4,1,0,-2,0
-1,0,1,-1,-1,-2,-4,2
10,5,9,9,2,1,12,9
8,-15,-11,-1,-2,0,-2,4
-13,11,1,-1,-2,1,-5,-20
27,20,4,2,0,1,-1,6
-26,-29,-10,-4,-2,-4,1,11
1,0,-2,-2,-2,-6,-8,-14
-10,-10,-4,-5,-2,1,1,20
12,18,1,2,-2,1,-2,-12
-4,-7,-5,-3,0,-1,-3,0
-26,6,-1,-3,-4,-2,-5,-16
-6,0,-3,1,0,-2,0,-3
1,6,0,-3,-2,-6,-8,-3
-30,-5,2,0,3,4,6,-3
5,-4,-4,3,1,3,3,2
-13,-5,-3,-3,-1,-2,-4,-11
