ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-19,-23,-9,-4,2,3,10,50
25,-7,-4,1,-2,0,9,13
-2,-3,-2,-1,-3,-5,-9,10
-12,-6,1,-1,-1,0,-3,-15
9,1,-2,-2,-3,-6,-12,-6
-7,9,3,0,0,1,-6,-5
4,-11,-2,-1,0,2,-2,-4
-14,-2,7,6,1,4,2,-5
1,2,1,-1,0,2,-4,-45
5,3,0,-2,1,0,12,32
9,6,3,1,0,0,2,0
8,12,-1,1,3,3,1,-3
14,12,5,1,0,-2,7,-29
-5,3,1,4,1,-2,-3,16
16,3,-4,-4,0,-1,5,0
8,0,6,4,1,4,6,15
1,5,-2,-3,-2,-3,-14,-23
-16,1,-3,-4,-3,-1,-1,-16
-4,-19,-2,0,-1,0,12,72
-6,-12,-2,-2,-1,-2,3,-1
-12,7,12,4,3,-1,-2,-11
9,23,-1,-1,-2,-1,2,-10
61,22,10,5,3,1,-5,-27
-28,4,-4,-2,-1,-1,2,27
-22,-3,-5,-1,-2,1,2,13
77,25,10,6,4,5,2,-9
-43,30,10,6,2,3,2,-2
20,5,-1,-3,-1,-1,0,-6
0,54,8,4,2,-3,-4,-21
8,-17,-9,-3,-1,-4,-4,15
-29,-12,-3,-1,1,3,1,-8
-30,-14,-2,-2,-3,-4,-6,-21
-1,-12,-3,-1,-2,-1,2,6
3,-2,-5,-3,-4,-6,-11,-9
-13,-16,-4,-3,-2,0,3,13
3,-1,1,1,-1,0,2,2
6,-13,-8,-4,-3,-3,-1,-18
-18,-2,1,1,1,1,0,11
7,9,-2,-2,-3,-3,-1,7
10,5,-2,2,-1,2,-4,-42
12,-19,-5,-3,-2,0,11,27
-19,-12,2,-1,-2,-1,1,24
-1,7,-1,-1,-2,-1,0,-5
9,-18,-4,-5,-2,-1,-2,1
-7,-2,-1,0,2,-3,-5,-5
-21,-7,1,0,0,1,1,-16
6,-10,-6,-3,-2,-3,-4,15
-2,-4,2,0,3,2,-2,-5
-12,3,-3,-2,-3,1,8,17
-6,0,-1,-2,0,1,-2,-20
