ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-28,3,6,2,-1,3,16,4
-27,35,2,-2,-2,-1,-13,-13
-30,-6,2,1,-1,-2,9,-34
31,11,6,3,3,4,9,41
-9,-7,6,6,3,2,-11,-6
-10,8,-1,-3,-1,2,13,13
-21,-16,0,4,3,2,3,-16
-11,-4,-11,-6,-4,-6,-3,-12
4,-3,-2,-1,-2,-2,-4,-9
13,-5,6,5,2,2,-3,2
26,-5,-1,-2,-1,1,7,64
28,-15,-1,2,4,4,9,28
-8,-1,-4,-3,2,0,-12,-23
-21,-4,0,1,-1,-2,-4,-12
30,1,5,5,4,7,34,28
6,0,1,-3,-1,3,7,-6
9,-2,4,4,2,0,0,-11
-2,-45,-16,-10,-7,-7,21,84
4,47,10,3,2,0,-23,-33
2,8,-2,0,0,-1,-3,0
-6,-12,-3,-2,-2,-1,2,-5
27,19,7,1,-1,0,-27,-55
-40,-12,5,4,-1,-5,11,22
14,7,-12,-7,-6,-3,12,20
-18,7,4,3,4,6,-1,-18
26,-5,-1,1,1,-1,11,36
4,-6,2,4,-2,-3,-21,-28
4,17,9,4,1,-2,-17,-48
1,-22,-16,-7,-6,-10,-25,-66
25,9,4,-1,-3,1,35,79
-2,-8,-16,-13,-6,-8,-11,-28
15,12,2,-1,0,2,6,74
-8,-11,-6,-2,0,0,0,-5
-10,-7,-7,-8,-5,-8,-34,-38
-1,3,0,0,1,5,-8,-42
6,13,-3,-4,-1,0,16,-54
36,-8,0,2,2,4,-3,-10
-5,7,-13,-1,5,4,3,-24
2,-18,-4,-4,-4,-5,-24,26
-15,-5,-2,-1,-1,-2,-14,-33
-7,4,1,-2,0,1,-1,-39
-6,-8,0,0,-4,-3,43,9
7,-10,2,2,3,5,7,9
0,-7,0,3,1,0,4,20
-4,-22,-14,-9,-10,-8,6,52
-4,-15,-3,1,0,-2,-8,-15
-33,0,2,0,-4,-2,-15,-56
0,-4,5,0,-1,-3,-12,-10
4,29,10,5,4,2,3,-26
15,16,2,1,0,-2,1,1
