ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-65,-36,-4,-4,-1,0,-26,-7
9,4,2,5,3,2,12,2
-3,5,4,-3,-2,-4,-9,-26
30,8,3,-3,-5,-7,-2,18
-10,18,-4,5,6,4,12,-25
5,4,-3,0,5,5,2,24
-18,-7,3,3,1,4,4,-1
-28,-10,-7,-10,0,0,3,16
14,9,2,-3,-5,-7,3,7
-8,4,2,-2,0,-4,-8,0
22,13,1,-8,-2,0,0,-46
1,-16,-2,3,8,13,21,64
15,2,-1,-6,-5,-3,-3,6
-31,4,-7,-4,-4,-1,-8,2
13,17,19,4,-1,-4,-10,-6
-27,-26,-14,-8,-7,-11,-16,-49
2,4,2,1,3,2,12,4
12,-3,-4,0,2,3,5,30
-19,-17,-8,-3,-3,-3,1,-20
-20,18,8,4,-1,2,2,-9
10,-1,0,0,-1,2,2,16
8,6,4,2,1,0,-2,-17
-5,-11,-7,-2,0,-1,-2,1
40,49,9,-3,-7,-5,-24,-38
24,15,-7,1,-1,0,26,46
-7,9,3,-2,1,6,9,9
-21,-3,-1,-3,-1,0,-3,9
-35,6,3,5,2,0,-4,-10
-8,-17,0,-2,-3,-3,-11,-24
13,12,0,0,-2,-5,-2,4
8,0,-6,-5,-3,-6,-2,18
5,-7,-8,-1,2,0,-2,13
0,0,2,-5,-2,1,1,4
-7,-14,-4,-2,-1,-2,-5,-6
7,-6,1,1,2,4,-3,2
-2,17,0,-2,-3,-4,-5,25
6,-3,1,2,1,-3,-16,2
-3,-46,-12,-1,-1,-1,0,-13
-20,18,9,3,0,-2,4,17
-11,-8,1,1,1,1,5,-1
4,5,3,6,2,2,-2,-11
1,16,7,1,0,0,-7,-7
20,0,-12,-5,-3,3,13,5
7,-5,-6,-1,-2,-2,6,1
-15,-14,-1,-1,-1,-3,-3,-6
28,1,-3,5,4,4,4,-1
-53,-32,-16,-6,-7,-5,0,6
-49,-9,3,2,3,2,-4,-43
11,-5,-1,-1,0,-2,-11,10
-39,-6,-2,-3,0,1,15,-6
