ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-1,-9,2,1,-2,-5,-2,-3
-1,8,3,-3,-3,-8,-6,-1
-4,-12,-4,-3,-1,0,1,-2
3,2,1,3,5,11,3,4
-2,0,1,1,-2,2,-1,0
1,0,-1,0,-3,2,0,0
-1,3,-1,-3,-3,-8,-4,-5
-3,-13,-4,-3,-4,4,-5,1
-2,3,-2,1,3,-10,5,-1
0,6,6,2,6,9,2,0
-1,-8,-7,-2,-3,-3,-2,-3
0,7,-3,-2,-4,-5,0,-1
-2,-8,-6,-2,0,3,0,-3
-2,-7,0,2,3,5,1,-1
-1,-4,0,-1,-3,0,0,0
3,12,4,1,3,1,-3,-4
-1,0,0,-2,-4,-2,-5,-1
-2,3,4,-1,-4,-6,-3,-1
-1,2,-2,0,2,3,1,1
3,-5,-3,0,1,-1,0,1
2,11,5,1,-2,-2,0,0
0,-3,-3,-2,-2,1,3,4
-5,-19,-3,2,2,3,-1,1
-1,1,2,-1,-4,-1,-2,-3
0,0,0,-1,0,-6,-1,1
-2,0,-5,-1,-1,-1,-4,-2
0,8,6,1,2,4,2,-1
-4,-11,-9,-1,0,0,4,3
-2,1,-1,-2,-3,3,-5,-1
3,10,2,0,-3,-8,-2,-2
0,-2,4,0,0,-2,-3,1
-6,-14,-5,-3,-4,-4,-2,-3
2,7,2,1,1,4,3,2
-1,-5,-2,-1,1,1,3,0
2,15,3,-1,1,0,2,1
5,12,5,0,-3,-6,-4,1
-4,-12,1,-2,-3,-2,2,-2
-5,-14,-13,-4,1,1,-1,-4
0,6,3,1,-1,1,-1,-1
-2,-3,-2,0,1,4,0,-3
4,9,4,0,1,-7,-2,1
1,2,3,0,-1,-6,-4,1
-2,-10,-8,-3,-5,-2,0,-2
0,10,9,1,3,2,1,-4
0,11,-5,0,0,5,-1,-1
-2,-5,-3,0,-1,0,2,-1
-2,-1,-3,1,2,-1,-4,-2
3,6,4,0,-2,-4,-3,0
1,0,2,0,1,5,4,2
-1,8,4,-2,-1,4,1,-2
