ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1,8,7,-1,-3,-6,-3,0
-1,-2,-3,-2,-4,-9,-5,-3
-1,-1,-5,-1,1,2,4,0
-1,-7,-1,0,5,0,-3,0
0,-1,0,1,0,6,1,1
0,1,5,-1,-1,-7,3,0
-2,-10,-4,-4,-2,3,1,0
1,4,3,-3,-3,-6,-3,1
-5,-9,-11,-1,1,0,-4,-2
1,7,-4,-4,-3,2,-1,2
1,7,10,2,-2,-7,0,-1
3,5,-1,1,1,4,2,6
-4,-2,3,1,1,1,-2,-5
-1,-6,-1,-3,-4,2,-1,-1
0,9,-2,-3,1,-3,1,-1
-1,-4,-1,1,0,1,1,0
2,1,-1,-1,-1,3,1,2
-5,-3,-4,0,-1,-2,-3,-2
2,7,7,-1,-1,-6,-4,-2
-3,-2,-7,0,0,0,-2,-3
-2,-1,6,1,2,3,6,2
-2,-14,-11,0,1,8,-1,-3
1,1,3,0,0,-8,-2,-2
3,5,3,0,-2,1,-5,0
1,8,1,-2,-4,-7,6,-3
-1,-11,-3,-2,0,4,-1,2
-1,-6,-3,-1,1,8,-2,1
-3,4,3,-1,0,-7,-5,-3
0,-5,-11,-4,-3,-2,-4,1
0,1,3,-1,-3,-5,-3,-3
1,3,2,1,-1,-2,4,1
-2,-2,-1,-2,-3,2,1,-2
0,2,5,-1,0,1,-2,-1
-1,4,2,3,3,0,4,-3
-1,4,0,-3,0,5,1,3
-2,-9,-8,-4,-3,-1,1,0
-1,-2,2,0,-5,-8,-4,1
1,7,2,-1,0,-3,-3,0
5,8,7,3,1,1,4,1
0,3,0,0,0,3,2,-1
0,-4,-7,-3,-2,-2,-3,-1
0,-5,0,2,5,-5,1,2
-1,2,3,1,-1,-2,-9,-5
-1,4,-1,-2,-1,-2,4,1
2,3,5,3,2,5,3,2
0,-2,-5,-2,2,7,0,-1
-1,-7,-4,-1,-3,-4,-1,-2
-1,3,5,0,-5,-7,-6,-3
-3,-5,-10,-1,1,0,-3,0
1,5,3,-2,-1,4,4,2
