ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-3,-5,-9,-1,2,6,2,-4
-2,0,-1,0,-1,-1,-1,-6
2,6,4,-2,-5,-6,-6,1
0,-6,4,-1,-3,-2,1,1
-1,-4,-10,0,1,2,-3,0
0,-8,-3,-1,4,1,1,-2
-1,2,-3,0,-4,-4,-3,-3
-2,-14,0,-3,0,-4,1,0
2,9,8,3,3,0,4,5
-1,-7,-5,-1,-2,3,-1,1
1,3,-7,-2,0,-3,-1,-3
-2,-12,-5,0,-2,3,4,-2
2,8,6,-1,-2,-3,-1,2
0,0,6,1,-2,-4,-1,-1
0,-4,-7,-2,-2,-7,-5,-1
5,10,-8,1,3,7,2,-2
-1,-14,3,1,0,8,4,-1
-7,-15,-13,-4,-1,-1,-4,0
-2,4,2,1,1,-3,0,-3
0,5,1,-2,-3,5,-5,1
1,0,2,0,-7,-17,-3,0
1,1,1,1,1,-1,-1,2
-2,-1,0,-2,2,4,0,1
1,3,3,1,2,3,1,2
-2,-3,3,1,3,4,-1,-1
0,6,-3,-1,-2,0,1,1
0,-8,-4,-1,1,-3,2,-1
0,-2,2,0,-2,-2,-1,1
-2,4,1,-3,-4,-5,-4,-3
-3,-7,-3,-1,1,-2,-1,-4
3,11,-1,4,4,9,3,2
-2,-8,-4,-1,-2,-3,-2,-2
-2,-2,-4,-3,-3,-4,-4,-1
1,2,7,1,1,0,2,4
-2,1,-1,-3,-3,-5,-6,-1
0,4,1,1,-1,-1,9,-1
-3,-3,-5,-1,-4,-4,-5,-1
-2,-1,4,2,2,0,-3,-4
2,4,7,3,3,9,3,0
1,9,8,1,2,-1,0,0
-1,-6,-15,-1,0,1,-2,1
-2,-3,-2,-2,-2,1,2,-1
-1,-1,1,-1,-4,-5,-2,0
-3,-5,0,-2,-2,-3,-5,-1
0,-7,1,-1,1,-3,2,-2
-1,-8,-6,0,-2,-2,-1,0
2,16,7,2,3,6,1,7
-4,-13,-5,0,-3,-2,-4,-7
2,10,4,-2,-3,-2,-1,1
-2,-3,-5,-3,0,-1,-3,-3
