ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0,7,2,2,2,1,-1,-3
1,3,-12,-2,-4,-2,-1,3
-3,-7,8,3,-2,-5,-3,-4
-3,-1,-20,-14,-5,-2,-2,1
-11,-12,-25,-2,1,-7,-5,-9
4,3,14,6,2,4,-2,2
6,1,45,12,11,8,7,3
0,-1,-14,-1,-2,4,4,-2
2,1,6,-1,-1,-2,0,0
-1,6,1,-3,-2,-6,-3,0
-2,3,-10,0,0,-3,-4,-2
-3,-5,5,-3,-2,-1,-1,1
0,1,-9,1,-2,-1,0,0
-4,-8,-9,-4,-1,-1,-3,-4
1,-2,13,1,-4,0,-1,1
-4,-24,1,6,3,0,1,-2
1,-5,6,2,-2,-2,0,1
0,0,-3,1,0,0,0,-2
-1,-1,-8,-2,2,4,0,0
-3,18,10,-2,-2,-3,-3,-5
-3,-26,11,3,1,-4,-3,-4
0,11,-3,-2,-3,4,2,-1
1,-4,-1,-2,1,-1,-3,4
1,7,1,2,1,3,2,3
-2,-3,9,0,2,-1,-3,0
6,23,4,1,0,-4,-1,1
-12,-5,-20,-4,-5,-1,2,-5
1,-1,-1,2,3,5,2,0
2,10,10,5,6,1,-1,2
-1,-7,-20,-13,-14,-6,-1,-2
3,2,2,-4,2,3,0,0
1,0,2,2,-3,-5,-1,-2
0,2,6,2,0,1,1,1
5,16,-17,-1,0,-1,-1,0
-1,-22,-11,0,0,1,1,3
-3,-15,2,0,1,1,1,-2
3,4,-3,-1,0,0,-2,-2
0,5,4,0,1,-3,-3,1
-1,-3,-3,2,-3,-6,-3,-4
3,2,1,-4,-2,0,-1,5
0,-2,-5,-3,0,4,0,2
-4,-12,1,-1,0,1,-2,-3
1,-6,3,1,0,1,0,-4
4,16,5,4,-2,-3,0,5
-5,-18,-2,-5,-5,-2,0,-2
-2,2,9,0,1,3,-1,-1
1,4,-14,-2,-2,-1,1,-1
1,-4,-4,-3,-4,-2,-7,-1
-1,7,12,-1,-1,3,6,4
-2,-12,8,7,1,-3,-2,-3
