ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-7,3,5,1,3,9,4,-3
1,-1,4,2,2,0,3,1
5,7,0,-2,-1,2,2,3
-4,-12,-14,-1,0,-3,-4,-1
2,1,1,0,3,-4,-3,4
-6,-3,-5,-2,-2,-1,-4,-3
-3,8,6,1,1,1,-1,-4
6,0,0,-2,-6,-5,-3,2
-6,0,6,2,5,3,1,-1
4,-3,-8,0,-7,-2,4,1
-6,-16,-12,-2,3,4,-1,-4
-2,-7,-6,-3,-2,-7,-5,-2
2,0,1,-4,-2,-3,-4,0
1,6,10,8,-2,-4,0,0
1,10,1,-2,-2,1,2,0
-1,0,-12,-14,4,7,3,-2
4,-6,-2,6,3,9,3,3
-8,-7,10,-2,-1,-5,-2,-4
0,-7,-14,-2,-1,-3,-3,-3
0,9,12,1,-2,-5,-1,-1
0,6,-6,-3,-7,-2,-3,-1
-1,-5,-11,-6,1,1,-2,-4
2,7,4,5,1,3,1,3
-3,-14,5,4,4,1,-1,-1
-2,-8,-3,-3,-7,0,1,1
1,8,1,-2,-3,-6,-2,-1
-2,4,8,2,2,2,0,0
-1,-1,-9,3,9,4,5,1
-5,-14,2,-1,-8,-2,-3,-2
3,-7,-8,-4,-5,-1,-1,2
-4,0,3,0,-3,1,1,-2
3,9,-3,-4,-4,-3,-2,-2
-3,-12,-2,0,-2,-5,-3,0
-1,6,3,2,1,0,1,0
0,-4,0,-1,2,1,0,-1
3,0,1,6,1,5,5,3
-15,-10,0,0,-1,-4,-5,-8
3,4,0,-6,-1,-2,-4,2
-8,-12,1,-2,-6,-4,-2,-1
4,15,2,1,-1,0,0,1
6,15,7,3,6,1,1,1
-5,-11,-1,-2,1,-1,2,-4
8,7,1,4,1,4,1,3
-4,-4,2,-2,-2,-1,2,3
-8,-17,-14,-4,-2,-2,-5,-7
1,2,-4,2,2,-1,2,0
3,-1,1,-4,0,-1,1,1
-1,-3,3,1,-5,-3,-1,1
1,-5,0,1,10,1,-3,-1
-2,5,-6,-2,-5,-2,0,-2
