ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
12,-25,12,-38,9,18,0,-46
-63,-32,-24,-9,-12,-15,-13,-45
13,-13,-10,5,6,-2,1,3
-4,2,13,-9,-9,-1,1,13
2,1,1,12,-8,-7,3,11
21,8,-15,-3,16,5,2,26
-2,46,3,-7,-6,4,3,-20
-16,-42,28,-5,3,2,-1,9
4,36,4,27,10,-1,-4,-3
5,8,12,-35,-22,4,5,19
8,-22,-54,8,9,-7,-10,7
1,-13,-7,0,2,6,2,-1
-3,10,2,-2,-2,-3,-4,-11
8,-10,19,16,-13,-7,8,53
4,20,-9,-2,18,6,-4,-31
-28,1,2,-11,-9,-7,-9,-29
1,-21,0,1,4,-2,-6,1
0,17,-1,7,-7,2,7,7
30,44,17,11,4,0,-2,22
4,-14,-17,-1,11,3,-1,-11
-9,14,1,-10,-8,-7,-6,0
5,9,8,17,-4,-1,-3,-25
-4,17,8,-11,-13,3,5,13
1,1,-11,-4,-2,-2,6,-13
-12,-51,0,25,1,-9,-13,-20
-1,-18,-19,-34,0,1,-3,-11
-1,-15,22,-8,3,0,2,0
22,63,-5,11,3,4,5,22
-15,-39,-2,-16,-15,-1,6,10
-27,-35,-20,26,17,-5,-14,-15
9,26,0,4,-2,5,9,37
-10,-48,0,-12,-1,-3,-2,-27
3,26,16,3,-6,0,-4,-27
1,26,-2,12,7,4,2,3
6,-37,-5,-1,4,2,4,32
3,9,-14,-5,-6,-8,-6,5
-14,16,11,6,-5,-3,-2,-34
9,-37,0,-5,7,3,-3,-2
-21,-7,-2,4,-11,-2,-4,-15
2,14,-1,9,4,5,4,-1
-3,19,10,-7,2,-7,-10,-14
21,37,9,-15,-8,-7,1,31
-2,-40,-3,30,17,-1,7,-32
1,6,-19,-26,-8,5,-1,12
-15,-18,8,15,2,2,1,-17
-5,-6,0,-1,-15,-8,-11,0
-6,-6,1,-3,4,1,-1,8
3,-12,13,5,4,5,2,8
12,20,21,3,-3,0,3,-13
-9,41,-12,0,-1,1,0,-13
