ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-3,-5,-3,-3,-2,-4,-6,-4
1,1,-2,-1,-1,0,3,-2
-1,-4,0,0,-5,-11,-5,1
1,5,2,0,2,1,3,0
-2,1,0,0,0,2,-2,0
0,-2,-3,1,0,2,1,1
-1,-9,-2,-3,1,2,3,1
-1,4,-1,0,-1,1,-1,-3
1,7,7,0,1,-3,-1,0
-3,-8,-8,-1,2,1,-5,0
0,-1,1,3,-1,2,7,1
-1,6,0,-3,-3,-9,-6,-3
-1,-4,0,-3,0,-12,-6,0
1,1,3,1,0,4,0,-2
-2,-1,2,0,-2,-1,1,-1
0,7,6,1,2,7,2,-1
1,4,-2,2,6,6,2,-1
-4,-8,-4,-3,-2,-3,2,0
-1,-3,-4,-2,-3,0,-3,0
3,9,4,-3,-4,-6,-2,-2
1,3,-2,-1,0,3,-1,-2
2,9,4,-1,-3,-1,2,2
0,4,1,0,1,2,1,-6
-4,-7,-2,0,-2,-6,-4,0
-2,-3,-4,0,-1,-5,-7,-1
-3,-4,0,-2,-1,6,7,-4
0,-2,2,0,2,-2,1,3
2,-9,0,0,0,2,-1,2
-1,-5,2,0,-3,-2,-3,-2
2,11,3,1,0,3,-1,2
0,9,-1,1,0,2,-2,-1
-3,-24,-8,0,-3,-4,2,-2
0,1,0,-2,-3,1,0,2
1,-1,-4,0,-1,2,1,-2
-1,0,-1,-2,2,-2,-1,-1
-1,5,3,1,-3,-4,-3,1
0,4,-1,-1,-1,1,-1,0
-1,13,5,-3,-4,-7,-5,-3
-3,-14,-8,-2,-1,7,2,0
-2,-2,-7,-2,1,-7,1,2
-3,-5,-4,-1,0,3,3,1
2,1,2,4,4,4,0,-1
2,-3,0,-1,-3,-1,-5,1
-3,5,0,-3,-4,-5,-2,-2
1,8,0,-4,-6,-6,1,-7
-5,-12,-3,-1,2,6,2,0
-1,11,7,-2,2,-3,-4,-3
-2,-17,-10,-2,1,1,-4,0
0,4,1,0,1,3,1,0
0,-2,1,-2,-1,0,0,2
