ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-20,-64,-20,-6,-31,-18,-36,-48
-21,-11,-9,7,8,-1,-3,11
-6,-45,-23,-19,-11,-8,-5,0
9,6,3,15,1,-3,8,4
9,21,19,9,6,8,16,18
9,24,7,3,-3,0,-5,-9
2,13,3,4,-2,-3,2,8
-10,-6,1,-1,8,1,-11,-37
-3,-9,12,1,9,7,9,15
4,4,-1,5,2,-3,-4,-9
-3,5,-5,-15,3,2,0,2
-8,-20,-9,-3,-5,-4,-9,-25
0,5,14,12,1,1,7,7
17,32,4,-11,19,6,16,57
-2,-7,6,6,-9,-7,-28,-82
-21,-32,-17,-20,-16,-11,-11,-33
-2,-15,-1,26,21,11,16,20
-3,-31,-11,-14,-13,-6,-5,1
-1,-17,2,8,5,4,10,28
16,-3,1,15,-1,-3,-8,-7
-5,1,-1,-15,8,0,5,3
10,21,10,10,6,3,2,13
1,21,1,-10,-7,4,4,13
1,-35,-9,13,11,0,-6,-39
1,24,9,-4,-1,-2,1,3
-3,-3,-4,3,-5,0,-4,-13
3,10,-4,-5,2,-2,3,12
5,18,8,-13,-13,5,12,16
-5,37,9,17,26,0,-12,-9
5,1,-10,-9,-20,-9,-15,-54
-4,-37,-13,4,13,8,9,-1
-6,-20,6,7,-9,-4,-2,4
0,-4,7,-10,3,8,-2,34
-7,-8,3,0,13,5,2,-15
1,8,-11,-16,-15,-4,-4,5
0,23,-9,-9,0,-3,1,22
1,65,21,7,-11,0,4,-26
-14,-68,-11,3,-2,-8,-9,-20
25,25,3,16,4,1,-1,39
-26,-36,-7,-21,21,12,-2,-21
12,-18,-9,-5,-11,-7,1,-4
-5,16,12,6,-1,-1,-4,18
7,33,11,1,-8,-4,4,-26
-1,22,3,8,-5,-2,-4,21
0,-24,-25,-9,-16,-7,-2,-6
10,-16,-4,-17,-7,3,7,-11
-7,-7,-6,15,12,-2,-3,21
1,19,11,6,6,4,-6,-24
-18,5,9,-12,-17,-2,6,7
-9,0,-11,-18,-7,-7,-9,-13
