ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-6,9,-2,3,7,1,5,20
-9,-1,1,8,7,-2,3,-6
4,-39,-1,-22,-20,-4,-11,-17
4,43,-2,27,38,8,6,4
-11,-87,-11,-16,-17,-2,-4,-2
12,49,7,-7,-8,-1,4,12
3,2,-6,-18,8,7,4,22
-12,-41,-4,16,-7,-1,-3,-24
19,38,6,5,-6,-7,-3,10
-8,27,-5,-4,21,5,-2,-20
-8,-74,0,19,-13,-5,-2,2
6,-17,-6,-19,-14,-3,-3,-8
2,19,1,3,4,1,3,9
-14,-6,4,-1,-16,-4,-6,0
20,36,0,8,-2,-6,0,-1
-8,26,5,-1,18,6,0,-4
4,-4,3,6,13,4,-3,-8
1,9,-2,5,-5,1,2,8
-5,-7,-1,-6,0,0,0,-2
6,-20,3,13,-6,1,4,27
2,13,-2,-11,-14,-8,-4,-6
-1,-32,-1,-5,-7,-4,-4,-4
14,51,0,31,24,7,5,15
-21,-35,-2,-33,-2,3,-5,-16
-3,3,2,36,-4,2,4,-4
-16,-22,-4,-3,-1,-5,-1,1
20,10,-4,-16,8,0,-2,-10
10,0,0,6,-7,-7,-2,8
-20,7,-8,-13,2,0,-3,-6
-12,-9,2,9,-15,-8,-2,-3
-2,0,3,-4,3,4,2,6
2,28,-1,0,-3,-1,2,-5
7,20,7,1,5,-1,-4,4
-7,-29,4,-6,7,5,3,4
-4,-54,-17,-4,-10,-5,-11,-17
-2,15,-1,-6,-1,1,4,32
-5,-13,5,15,-14,-2,3,-33
17,44,9,-11,-1,-3,-7,0
-10,26,-3,-16,18,4,0,-5
-3,6,-2,-8,-19,-3,2,2
2,-3,-5,-5,-7,-1,-2,14
17,-23,-7,-4,13,3,4,36
-2,-3,10,9,-26,-11,-8,-65
19,49,9,-5,0,0,3,-1
2,32,5,28,9,-3,-1,10
-12,-70,-17,-22,-3,9,1,-14
-12,-17,-1,7,1,-5,-1,13
21,-3,-1,11,0,1,-1,-5
11,57,2,-15,-2,4,2,8
-14,-26,-1,38,1,-3,-1,-17
