ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-10,-32,-1,-11,-10,-5,-10,-72
-2,-1,4,6,-11,-4,-4,-1
11,16,0,-10,6,2,2,5
-27,-43,-22,-13,-3,-1,-1,-6
13,22,11,2,2,1,4,29
5,16,2,2,0,3,2,16
0,-23,2,18,1,-7,-2,-7
-8,48,3,-32,-18,0,-6,-30
3,-10,-4,4,10,7,7,24
0,4,0,6,-3,-3,-6,-10
0,-15,-10,-10,-11,-3,0,7
1,25,15,19,14,3,6,29
-10,-62,-7,-8,-12,-3,-3,-22
-2,16,-6,-3,-4,-4,-4,-17
-13,-41,6,13,-1,-4,-2,-12
12,-9,-10,-15,-2,0,0,-2
0,40,-1,2,-7,-2,3,27
19,-11,-2,-8,7,2,2,32
2,22,-4,-19,-7,1,-2,16
11,5,12,17,15,2,-1,-54
9,58,0,6,5,4,-2,31
6,-53,-6,-10,-24,-3,4,4
-22,6,-4,4,14,6,-2,-33
-1,-23,8,3,-3,-3,-2,10
9,39,6,12,-7,-6,-4,17
-4,-14,-5,-17,-6,-6,0,0
8,-11,-2,-7,9,2,5,5
-25,-22,10,20,3,-2,-16,-51
1,-27,-19,-25,3,-3,-3,-16
4,-5,-4,2,-10,1,2,15
1,39,2,-7,-1,-2,-3,2
-3,11,-2,8,5,0,6,15
10,15,7,3,-5,1,3,20
-10,8,-5,-6,5,-2,-13,-5
15,-4,2,-24,-11,2,5,-2
-8,33,0,9,-7,-6,-4,5
-16,-91,-10,15,13,1,-1,7
20,23,18,3,-3,1,6,4
-9,26,-5,-15,-6,-4,-7,11
-3,-43,-15,10,3,-1,5,25
-7,0,0,-15,0,1,-5,-45
18,49,15,13,4,2,3,2
-13,2,-7,-13,-7,-5,-11,-15
11,-2,-2,-6,-5,1,9,27
1,18,1,8,11,0,-2,-7
-9,-2,1,8,-1,1,-3,-1
8,-19,18,23,3,3,-4,1
-2,-5,-1,-23,-11,-4,0,3
1,-12,-12,11,18,7,4,22
-12,34,4,-9,-4,0,4,14
