ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
4,11,10,0,5,1,2,3
-4,-3,1,0,1,0,-3,-4
-1,-2,1,1,0,1,1,-3
3,11,-1,1,3,1,-3,-1
-3,-5,-7,0,-1,0,0,-2
-6,-3,2,2,3,1,-3,-2
3,0,1,-3,-3,-1,1,2
-6,-13,0,2,5,-2,-1,-2
-3,2,-13,-8,-8,-5,-1,-3
0,1,1,0,1,-1,-5,-1
1,17,13,4,3,3,3,-1
-1,-13,-15,-6,-7,-4,0,0
2,-2,-9,-1,2,-4,-3,0
5,15,3,4,-3,1,-1,6
0,10,-4,-2,0,-1,1,0
-9,-11,4,-1,0,2,-4,-6
5,17,6,-4,-14,-8,-2,1
-10,-15,-9,-1,2,1,5,-2
2,4,5,-1,-2,2,-3,1
-1,3,-2,-2,5,-2,-1,0
4,2,2,6,5,4,-4,3
2,-11,-8,-4,-3,-3,3,1
-6,4,7,-1,0,-3,-1,-8
2,-10,-9,2,0,0,-1,0
-5,2,5,1,3,2,2,0
1,2,3,0,0,0,-3,-1
1,-3,-7,-4,-3,-2,-1,1
4,10,10,-1,-4,-4,2,-1
0,1,4,2,2,-2,-3,0
2,9,-5,3,6,6,4,2
-1,7,6,-1,-2,0,-3,-3
-2,-27,-11,-3,-7,-2,-2,2
-4,6,1,-2,2,-2,3,-4
-1,9,4,4,7,6,2,-1
-12,-18,-10,-3,1,2,-2,-8
4,7,4,1,4,-1,0,3
2,-2,2,1,-5,-6,-4,0
-6,-15,-9,-6,-4,-5,-5,-5
4,3,0,2,4,2,4,3
3,7,8,3,4,0,-1,-1
3,-3,-5,-5,-9,-2,1,4
-2,21,15,3,-2,-3,0,-4
-3,-22,-25,-10,-3,0,-3,-1
-4,8,5,0,2,-1,-2,1
7,19,6,4,3,10,9,3
2,-18,2,0,-1,1,-4,1
-1,4,1,-1,-2,-9,-3,0
-3,0,-2,-3,-4,-1,-1,-2
-3,-3,-4,0,2,-4,-7,-2
3,11,3,-1,0,2,4,5
