ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1,0,-1,2,2,3,1,0
-1,0,3,-2,1,5,1,-2
-2,-4,-3,-4,0,1,5,-1
0,-2,-3,1,-2,-4,-4,0
-2,-1,-2,-1,-1,-2,-4,-1
-1,0,0,-1,0,3,-1,0
1,1,2,1,-1,-5,0,2
1,1,2,-1,1,1,-8,1
0,-1,-1,3,0,0,14,0
-1,-1,0,-2,-3,-5,-7,-3
0,-3,-4,-1,-2,13,4,-2
0,-1,-2,0,-1,-14,-7,-2
-2,-2,-1,-1,-3,-7,-8,-2
-1,-1,1,2,0,2,8,2
1,0,1,2,3,8,4,5
-1,0,0,-2,0,4,0,-2
-1,-3,-3,-3,-2,-3,-3,-1
1,0,-1,-1,-1,-6,-1,-2
1,0,0,-2,-3,-5,-3,1
-1,-2,-2,-2,-1,5,0,-1
0,2,1,1,4,5,5,0
-2,-3,-2,-1,-2,-1,0,-2
-2,0,0,-1,0,7,0,-4
-2,0,1,-1,-2,-12,-1,-2
0,1,1,-1,-1,1,-1,0
-2,-3,-8,1,1,-1,4,-1
0,2,-1,2,3,0,-1,1
0,1,2,2,3,18,10,0
0,-1,-2,-1,-3,-17,-11,0
2,1,2,-2,-1,0,-4,0
-1,-1,-1,0,-1,0,4,0
0,-1,-1,-1,-2,2,-2,-2
-2,-1,0,-1,-2,-7,-4,-4
-1,-1,-1,-3,-2,-7,-3,-2
-2,-2,-2,0,2,3,0,0
2,2,1,1,5,13,7,3
-2,-1,-1,-1,-1,-3,-3,-2
0,-1,0,-1,-1,0,-2,2
-2,1,1,-4,-3,-8,-6,0
-3,-2,-1,-3,-3,-10,-1,-2
2,-1,-2,0,3,11,6,3
0,1,2,2,1,4,-2,-4
1,0,3,-2,-1,-4,-7,0
-1,-2,-5,-1,-1,0,7,2
-3,-1,-3,-3,-5,-1,-4,-4
1,0,0,1,1,-13,-1,3
1,1,0,0,3,11,1,-2
-2,1,1,-1,0,0,-5,-2
-2,-1,-2,0,-4,-3,-1,1
-1,-1,-2,-1,-2,-5,-2,-2
