ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-2,-1,-3,-8,-8,1,0,1
-2,1,0,3,5,-1,0,-1
0,-1,1,3,3,2,-1,-1
-6,-3,-1,-11,-1,5,1,-1
0,2,0,10,0,-3,-2,1
-5,-8,-5,-2,-5,0,-3,-1
1,-1,0,-2,-5,-18,-5,0
-4,-3,0,0,-2,-2,-3,-3
5,4,3,-9,-3,3,6,5
-2,1,-1,0,2,4,1,0
-8,-1,0,0,-2,-3,-1,1
1,0,1,1,-2,-6,-5,-6
-2,-4,-2,-8,0,10,8,4
-2,1,2,7,4,3,0,2
2,-2,-4,2,2,6,-1,-4
-12,-3,-1,-14,-9,-10,-2,-2
6,-1,0,4,1,-10,-6,-1
3,0,0,3,10,15,10,3
2,-1,0,-7,-6,-5,-3,1
-3,-1,-1,8,-1,-6,-4,-1
-4,-1,1,-3,-1,6,2,0
1,3,-2,-12,-3,-9,-4,0
1,-3,-1,6,4,4,2,-2
0,0,-1,8,1,-2,3,2
-3,-1,-2,-12,-1,0,1,-6
1,1,2,9,-2,-3,-6,-3
1,0,1,-6,-7,-8,-3,1
-1,-2,0,0,3,11,2,2
1,2,0,1,0,2,1,0
-1,-1,1,-2,-2,-2,-3,-2
-1,-2,-1,-2,-3,-4,-1,1
0,0,0,4,-2,-7,-2,-1
-6,-2,-1,-2,3,7,-1,1
-2,-1,-2,5,4,-2,-2,-1
-2,-3,-1,1,-3,-7,-4,-1
8,1,-3,-4,-4,-2,-3,-2
-2,-1,0,-4,-3,-5,6,1
3,2,1,10,5,6,-3,3
-5,3,-3,-17,-6,0,2,-1
-2,-2,0,-1,-1,-1,-7,-2
-1,0,-2,-7,-7,-14,-2,-1
-5,-4,-1,8,3,5,3,-2
7,4,3,7,5,9,6,10
3,0,0,-2,1,-1,-1,-6
-3,-3,0,-6,-6,-4,-3,0
-3,1,-1,0,-6,-10,-3,1
3,-1,-3,5,2,0,0,0
-2,-1,-3,-4,1,2,6,1
1,-1,0,2,6,6,-2,-1
1,0,-1,-8,-4,1,1,-1
