ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1,4,2,5,1,0,-1,-1
-4,-8,0,-3,-5,-8,-6,-2
-1,0,-2,1,-2,-4,-5,0
0,0,-1,0,-1,1,1,0
1,0,-2,-3,-2,5,0,-1
-2,0,1,5,0,-10,-1,1
0,1,0,-3,2,6,0,2
0,-2,0,2,-1,7,2,-1
-1,-3,-2,-4,-3,-13,-3,-2
0,0,0,5,5,6,5,0
-4,-1,-1,-2,1,10,1,1
3,2,-1,-3,-6,-9,-3,2
-1,-2,1,-3,1,-3,-1,-1
0,0,0,2,2,6,1,-3
1,2,0,2,-2,-4,0,0
-3,0,-1,2,-1,1,-1,-2
-2,-1,-4,-4,0,-1,-1,-1
2,1,2,5,4,-1,5,0
0,-1,0,2,-1,7,0,1
-3,-1,-1,-5,-6,-10,-6,-5
-1,0,-1,-1,-3,-3,3,-3
1,0,-1,1,-1,2,-3,1
4,5,2,1,3,0,-1,0
-6,-8,-4,0,-2,5,1,0
-1,0,1,-2,-1,-9,-6,-2
-1,1,-1,-1,-4,-2,1,0
-1,-3,-2,-2,1,12,3,-1
1,2,1,-3,-3,-20,-5,-1
1,0,2,6,2,6,2,1
-2,-2,-1,-9,1,6,1,1
-2,0,-3,-2,1,3,4,-1
3,1,-1,-2,-2,2,0,-1
-2,-1,0,1,-4,-2,0,0
0,-1,0,0,-2,-10,-2,-2
-4,-4,-3,0,-4,-2,-3,-2
-1,-1,0,1,2,1,1,0
1,1,2,0,4,4,4,3
5,4,1,4,2,7,-7,1
0,0,-1,-3,-6,-7,5,-3
0,-3,-3,-1,0,-2,-4,-1
1,-1,0,1,0,-2,-4,-2
-2,-2,-1,2,-1,0,1,-3
3,1,0,-2,1,6,-1,2
1,-1,0,-1,-4,-2,2,0
-2,-3,-3,0,-3,0,-3,0
1,2,-3,-11,-2,-2,-5,-4
-2,-2,1,2,0,-1,0,3
0,-1,2,6,2,9,1,-2
-2,-1,0,1,0,-13,-1,0
-2,0,-2,-4,-3,-3,1,-1
