ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-1,-2,-1,4,-2,-8,-3,0
-2,-2,-1,-5,-3,0,-1,-3
1,1,3,7,5,9,-5,1
0,1,-1,-4,1,0,10,1
-1,-1,0,-5,0,2,0,2
-1,0,-2,2,-3,-6,-5,0
-1,0,-4,-4,-3,-4,-3,-2
0,3,0,1,2,1,0,-2
-1,-2,2,1,1,4,3,2
-1,0,0,-4,-1,7,4,-1
0,-3,-1,-2,-5,-14,-3,1
-1,-1,-1,0,-4,-6,-7,-5
0,1,-1,-2,3,8,3,0
2,2,0,2,4,5,2,3
-2,-1,-1,2,0,3,0,-1
-1,-1,1,-1,0,-1,3,3
1,0,-1,-3,-1,-3,-1,1
-3,-1,1,3,-2,0,-3,-1
-1,0,-3,-7,-3,-4,0,-2
0,-2,-3,-10,0,-2,-2,2
-1,0,0,-1,0,0,-2,-6
0,2,0,-4,-1,-3,2,0
-1,0,0,3,-1,1,-3,-2
-1,-1,1,0,-3,-4,-5,-2
1,0,-1,3,1,2,3,2
1,0,2,3,3,3,2,0
-1,0,0,-2,-1,0,-1,-3
-1,-2,1,2,-2,-3,2,-1
0,-1,-2,-1,-1,-2,-3,1
-1,-3,0,-1,-2,-1,2,-2
-1,-1,0,1,0,9,4,5
1,-1,0,3,-1,-14,-7,-5
-1,0,0,1,2,4,0,-2
-2,-1,-5,-7,-3,1,0,0
0,0,0,6,1,3,1,4
-1,-1,-1,-1,-1,1,0,0
-2,0,-1,-2,-2,-4,-2,-2
-1,-1,-2,0,-2,-4,-5,-4
0,0,1,-1,-2,-2,3,-2
-4,-2,-1,-1,-1,3,-1,-2
0,-1,-1,-2,-2,-3,-2,-1
0,1,-2,3,1,0,-2,1
1,0,0,-2,1,2,2,1
-1,1,-3,-5,-1,3,-2,-1
-2,0,0,-2,-2,2,0,0
-3,-3,0,0,-1,-6,-3,-1
-3,0,0,-2,0,1,5,-2
0,-1,1,1,3,4,0,0
0,-1,1,2,0,9,3,1
-1,0,-4,-7,-4,-16,-5,0
