ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
5,14,11,10,2,-2,-1,3
-3,-1,-6,-3,-2,-3,0,-3
-5,-6,-7,-5,-6,11,-1,-3
0,-5,-6,-3,3,-10,3,-3
6,13,4,-2,-3,-4,-2,1
1,7,5,3,1,0,2,1
0,-5,-3,-3,-3,0,-2,-2
-4,-4,-4,1,6,10,3,0
-2,-3,3,2,1,1,-2,-3
-1,8,9,-1,-7,-13,-2,0
1,-7,-5,0,1,4,4,1
5,15,9,-3,-2,-5,-2,1
-2,-19,-3,-4,-1,-5,-12,-1
-4,-5,-6,2,2,10,9,-3
-6,-12,-9,-9,-5,-11,-4,-3
0,2,0,1,-3,-5,-5,-2
3,3,2,1,7,10,4,6
0,2,3,-6,-2,-2,-7,-2
4,17,7,5,1,-3,2,0
-2,-3,4,3,3,8,4,1
0,-5,-3,-1,-4,0,1,1
1,-7,-2,2,1,-3,-2,1
1,9,-4,0,-3,1,1,0
-3,0,-2,0,-7,-12,-7,0
-3,5,-1,2,-2,-2,1,0
0,6,3,-3,2,2,-1,2
2,2,11,-1,-1,-1,-2,0
-2,-1,-4,-2,3,7,3,1
-1,-3,-5,-2,-5,-3,-3,-3
-4,-27,-7,0,3,4,-2,0
2,11,0,-1,-3,-9,-7,-2
-2,1,3,-2,-2,-2,3,-2
-2,3,-2,0,3,4,2,-2
2,11,4,3,2,14,3,3
1,-9,-7,-2,1,-13,-5,3
2,6,6,0,-4,-2,3,-2
-2,-3,-6,-3,-3,-8,-4,-3
-4,4,1,3,4,5,3,-1
5,-1,-1,5,3,10,4,2
1,2,2,-4,-4,0,-1,1
2,-1,4,-2,-2,-5,-2,-1
4,6,3,0,0,-5,-2,0
-4,-4,-6,-3,-4,-4,0,-2
0,10,-1,-2,2,-7,-5,-1
-5,-8,9,4,4,6,4,0
4,1,-5,-2,0,-3,-4,-1
-2,7,5,0,-2,3,3,1
3,-2,-1,0,0,2,0,-1
-3,-3,-11,-4,-2,-3,-2,-3
-5,-7,-1,-2,0,-4,-3,-3
