ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
2,4,1,-28,8,9,3,3
-1,-3,-9,-5,-27,-11,-4,1
-7,-9,-9,8,14,-4,-1,-4
6,14,17,-24,-35,11,11,4
-8,-11,-6,14,-12,-21,-16,-9
4,5,4,-14,11,8,10,5
1,8,13,23,4,11,5,3
-4,-5,-10,-50,-48,-9,-6,1
0,1,-8,-7,-3,-2,2,-3
-5,-2,4,2,2,-7,-5,-5
-2,-2,4,27,2,0,-3,-1
5,7,10,27,23,4,2,4
-9,-17,-34,10,13,-9,-6,-8
3,4,10,6,26,-9,-3,0
-9,-18,-23,5,-32,-18,-10,-7
-3,-8,-17,-24,4,-3,-5,-3
9,13,11,-100,-24,16,10,5
-6,-7,-7,17,17,1,-1,-2
9,10,13,-13,-10,7,4,6
-6,-8,-2,51,20,-8,-9,-6
2,2,-3,-29,-10,2,3,3
-6,-10,-36,-65,-41,-9,-6,-10
0,3,14,22,15,2,3,-1
1,1,1,12,-9,7,1,2
4,7,22,16,20,1,1,3
1,-2,1,25,1,6,4,2
-4,-5,-7,17,26,0,-5,-2
0,2,6,-48,-34,-5,3,1
-1,-2,-9,14,7,1,-2,2
3,6,18,18,9,0,-2,0
-3,-3,-6,43,19,-3,-4,-2
-3,-6,5,66,39,2,-3,-4
2,4,-1,-34,-37,0,6,3
-5,-5,8,50,22,-6,-6,-3
3,3,1,-7,2,8,4,0
6,10,11,6,11,-1,2,3
-6,-9,-9,18,-7,-18,-14,-6
-1,0,-8,-13,14,0,3,-1
-11,-16,-14,52,18,-7,-7,-7
0,-3,1,-5,-3,8,6,4
4,6,7,-14,-5,6,4,0
3,6,10,17,10,0,-2,0
4,6,11,-31,-3,1,2,4
-3,-3,-8,-9,-7,-2,-5,-5
-1,-4,2,41,7,-8,-4,-5
2,4,18,61,18,5,5,4
1,-1,-22,-91,-23,3,2,1
0,-1,-3,29,12,-1,-5,0
5,8,15,-60,-41,9,9,8
-4,-6,-9,-21,-10,-5,-14,-6
