ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
9,17,40,57,29,20,11,7
-11,-16,-27,15,-1,-9,-9,-6
4,1,20,28,15,2,-1,0
0,-2,-6,-12,11,-5,-6,-3
-2,0,2,-6,-25,-4,2,1
0,1,2,12,8,-1,-2,0
-3,-3,-33,-33,-20,-5,0,-3
-6,-7,-15,14,9,-2,-5,-2
-2,-3,-1,23,0,-4,-3,-2
-1,1,3,15,41,8,2,0
0,-1,-12,-76,-62,0,3,0
-2,2,3,-19,-3,-1,0,1
0,3,15,51,6,-2,0,-1
2,0,-14,12,4,12,7,4
-5,-2,7,71,46,4,-2,0
7,4,5,3,-19,-4,1,3
-3,-9,-7,8,31,-1,-5,-5
4,5,11,-17,-17,6,3,4
7,11,13,-51,-3,18,12,3
-6,-7,16,4,1,-4,-5,-2
-1,-8,-13,30,10,-1,0,2
-5,-5,-9,39,11,-8,-3,-2
-9,-6,2,20,-11,-8,-7,-2
9,1,-3,24,4,-6,-5,-1
4,8,13,-39,-2,2,2,1
1,-1,-11,7,0,2,-1,-3
1,-9,9,11,-12,-4,-2,3
3,10,13,-11,11,12,10,5
-10,-14,-4,51,-11,-15,-11,-8
0,4,11,5,8,0,-3,-2
-3,-1,-6,28,1,-9,-6,-3
-4,-2,15,-57,-20,-1,1,0
7,10,19,-80,-28,5,2,5
-3,-4,-2,21,3,0,-1,-2
-7,-11,-17,24,15,-8,-6,-6
0,2,-13,-44,-15,0,-1,0
-8,-7,-3,6,9,-11,-7,-8
1,0,-3,7,3,-1,-1,1
9,19,35,40,20,22,11,7
-6,-7,-19,7,-35,-10,-1,-6
0,-9,-28,-60,-12,-5,-6,-3
-3,-4,-2,-29,-27,-13,-3,-2
6,7,18,-29,8,2,0,2
-3,-1,-2,34,20,5,-3,-3
-7,-9,-35,-26,-24,-15,-10,-4
2,4,15,41,19,12,10,4
1,-3,-9,-11,-9,-3,-4,-1
-2,-3,-7,11,7,-2,1,-2
2,3,4,-36,-11,1,-1,1
1,-1,4,16,17,-2,-1,-1
