ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-4,-7,-9,9,3,-7,-5,-1
0,7,-19,-69,-10,2,2,1
-3,-3,12,77,30,-4,-10,-5
-5,-6,-12,-14,-5,-5,-4,-3
2,-1,-10,-33,-13,0,2,2
2,7,36,62,33,2,-1,1
-2,1,-32,-94,-54,-11,-3,-3
-5,-12,-12,-28,-33,-9,-6,-5
-3,0,-4,-13,-22,-10,-6,-4
-2,-3,-19,-5,-3,1,4,0
1,1,-7,-17,-5,4,2,-2
2,5,-3,22,26,5,0,0
3,4,24,19,-16,6,3,2
-1,1,27,9,-11,-6,-6,-4
-5,-9,-19,-17,2,-6,-2,-3
-2,0,0,-20,-12,-2,-1,0
-2,-3,-14,9,9,3,0,-2
4,4,1,-43,-22,0,-3,1
2,0,3,63,21,6,5,4
0,3,4,-41,8,-5,-4,-2
-5,-7,-15,-17,-9,-12,-7,-6
-2,-5,0,34,9,-1,-1,-1
9,-1,-21,-46,-18,-1,2,2
1,1,11,55,24,4,2,0
0,-2,-24,-55,-19,-3,0,1
5,13,25,2,18,6,7,4
-2,2,11,39,20,16,4,3
-4,-2,2,3,-29,-11,-3,-3
-3,-16,-3,27,1,-2,0,-2
4,1,-3,-8,1,6,5,3
0,5,22,6,7,0,-1,0
5,13,27,39,1,12,5,3
-2,3,-1,52,0,-5,-3,0
-4,-9,-9,47,15,-4,-3,0
5,2,14,18,5,5,3,3
-3,-5,-13,14,14,-1,-2,-4
3,11,9,-28,-4,3,-1,-1
-5,-7,-17,18,4,-7,-8,-5
-5,0,18,6,6,-5,-1,-2
2,-1,-26,7,5,4,1,5
2,-2,-11,-37,8,3,1,1
4,8,7,1,11,10,5,3
-4,-7,-9,-29,-11,-5,-8,-4
0,-3,43,29,3,-3,6,-3
1,-2,-4,-2,5,7,2,1
-2,-5,-27,24,25,-3,-4,-1
-4,-9,-31,-53,-38,-3,-1,-3
-1,-2,3,-3,-20,-7,-7,-3
-2,-1,6,61,36,3,-3,-1
1,7,42,14,-3,1,4,2
