ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-2,-3,-2,24,1,3,4,3
-1,0,0,-54,-9,1,0,-1
1,2,0,10,-3,-1,-2,-1
4,8,23,28,40,9,6,3
-8,-15,-30,-47,-64,-20,-19,-11
-3,-4,-8,-13,6,0,4,1
5,3,1,-34,-9,0,-3,2
-3,-4,-6,43,27,-5,-4,-2
4,5,6,-1,-1,7,6,4
-5,-4,4,10,-9,-9,-2,-3
-5,-7,-17,-19,-26,-7,-6,-5
1,7,4,20,15,8,6,4
5,3,11,-33,-1,-3,-1,-1
-3,-4,6,35,23,-2,-5,-4
5,9,16,22,5,0,6,2
-10,-14,-24,2,-2,-3,-4,-4
1,3,-4,12,30,8,2,3
0,-1,-5,-42,-14,6,2,1
-1,0,-4,11,17,2,-1,2
3,1,8,-20,-17,2,-3,-1
-2,1,6,46,15,-4,-5,-4
1,0,-1,-8,-11,7,6,2
-3,-5,-14,-25,-5,-1,-1,-2
0,1,5,11,0,-1,-1,-1
-2,-1,1,8,-2,-2,-2,-3
3,7,15,63,26,3,1,1
0,-2,1,40,11,-2,-3,-2
3,2,1,-36,-16,5,7,4
-8,-10,-19,-23,-36,-18,-8,-4
2,4,6,-14,6,4,0,1
0,3,-4,20,9,2,-1,0
5,10,13,-10,18,10,5,2
-3,-4,13,66,9,-2,1,0
-3,-9,-29,-76,-26,-13,-9,-2
1,0,5,30,8,-8,0,-2
2,2,6,-17,-23,0,1,2
-1,1,-3,22,27,0,-3,-4
1,3,5,-41,-18,0,0,2
-2,1,6,10,32,7,4,1
-4,-5,0,6,-24,-16,-7,-5
3,7,14,13,27,11,4,3
-1,-2,-8,-66,-32,-2,6,2
-4,-5,-9,-53,-23,2,-2,-2
4,-1,-13,-14,-17,-5,-1,0
2,3,6,9,18,3,3,3
1,-1,3,23,2,-5,-1,1
0,1,10,-12,-19,-1,0,-1
-1,4,10,66,32,8,3,0
-3,-7,-20,-58,-26,-1,-2,-4
-1,-2,-4,45,12,-4,-2,-2
