ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
3,9,12,-66,18,11,5,1
-1,0,-30,75,-10,-8,-3,-3
1,-4,-38,-21,-4,-2,-2,0
-1,2,36,10,-5,-4,0,0
-3,-13,-18,-28,-2,-8,-4,-2
-6,-12,-19,9,-6,-5,-2,-2
4,7,1,-30,2,9,3,2
1,4,6,-21,7,3,0,-1
1,6,-2,11,27,6,1,-1
-3,-6,-7,29,-9,1,-2,-3
-4,-5,-4,-7,-5,-10,-4,-1
4,4,-29,-60,2,9,1,1
0,-1,7,38,-4,-6,-6,0
-2,2,-10,-35,1,-2,-1,-2
-1,-6,-1,18,3,3,1,0
2,4,3,63,-6,-3,-2,1
0,-6,-28,-48,-7,2,1,1
0,-2,5,22,16,-1,0,1
1,8,27,22,-2,-2,1,1
-2,-4,-19,-6,-25,-3,-3,-3
-6,-15,-10,45,34,2,-5,-4
5,12,4,-47,1,9,9,4
0,-6,-8,-17,28,6,4,-1
-1,-3,-29,-31,-15,-8,-4,-4
-6,-17,19,20,-27,-6,-3,-3
2,8,44,0,6,1,0,2
-2,-7,-21,-13,-22,-5,-4,-2
1,4,16,-1,9,0,0,1
3,9,-37,-30,-11,-3,-2,1
-1,-9,-8,13,-14,-7,1,0
1,1,-15,-12,-4,0,0,-1
-2,-2,-4,-32,4,7,3,-1
-2,1,19,28,4,-7,-4,-3
2,4,32,-18,-8,2,0,-2
2,4,-7,29,15,9,3,0
-5,-11,10,-24,-6,-6,-5,-3
0,3,-4,38,-4,-5,-2,-1
-3,-4,-17,-2,8,2,-2,-2
-1,3,16,-41,-8,-2,0,0
-1,5,21,48,22,-2,-1,-1
-2,-16,-46,-40,-12,-1,3,2
2,0,16,37,20,8,0,1
-3,-4,6,17,-7,-8,-6,-1
6,13,-5,-32,-23,6,2,1
-3,-1,-9,8,17,5,1,0
-3,-4,11,-28,-1,-8,-3,-2
-4,-8,-12,7,-1,-4,-3,-4
5,8,-39,-11,2,6,6,5
2,6,54,27,2,2,2,-2
-1,3,-39,-13,-11,-7,-8,-3
