ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-2,-2,-11,-88,-40,1,1,1
-4,-5,-6,42,24,-4,-7,-7
-2,-2,-1,8,-4,-1,0,-2
2,1,6,7,9,0,4,1
-3,-4,-6,9,-4,4,1,1
2,-3,0,31,12,-4,-2,1
2,4,6,10,2,5,1,0
-3,-4,-3,38,0,-1,-1,1
0,3,5,10,3,-7,-4,-2
-1,4,4,-56,-3,7,7,3
0,2,3,4,-18,-2,-1,-1
-3,-3,-11,-45,3,-1,0,-1
3,-2,-1,10,-10,-8,-1,-2
6,6,1,-6,3,11,6,4
-5,-9,-2,40,9,-7,-6,-7
-5,-7,-20,-39,-25,-6,-6,-1
0,2,6,9,19,4,-1,1
-1,-2,0,9,-27,-9,-1,-1
0,0,-6,-1,2,-1,2,4
-6,-3,-2,-69,-28,-3,1,-3
-3,-1,10,79,33,1,-5,-3
2,3,-2,-27,-5,5,1,4
6,-1,-3,27,23,-1,-4,-3
-1,1,3,1,-6,-3,-1,-1
5,-1,-7,-3,10,-1,-2,-2
-3,-2,11,-7,-6,1,1,4
-5,-8,-13,-24,-8,-3,-7,-3
-2,-2,0,44,10,1,-1,-1
3,4,1,-14,-4,6,5,1
2,4,9,90,48,5,0,1
-18,-9,-22,-40,-27,-9,-4,-7
5,3,6,13,6,8,5,1
3,2,-2,-43,-9,1,-4,-3
5,4,4,25,-4,1,3,4
10,3,0,3,2,-3,-2,2
-5,-2,0,10,13,3,-2,-6
4,5,-6,-84,-42,8,10,2
-17,-12,-11,-8,9,-2,-5,-7
6,6,18,56,11,1,4,2
-2,-1,-8,10,13,-7,-6,-2
-5,-7,9,50,-6,-11,-7,-3
4,7,11,-11,13,2,0,-1
-11,-6,-5,-44,-33,3,2,0
5,6,4,-22,-6,5,4,3
-1,0,6,55,24,-4,-2,2
-7,-4,-7,4,-22,-15,-5,-4
2,3,6,-8,5,8,2,-1
1,-5,-10,-25,-6,-3,1,-3
-8,-8,-1,5,0,2,1,2
2,6,-1,-34,-5,6,1,3
