ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
3,7,16,23,6,8,5,0
-1,-2,-12,-68,-14,1,0,0
-6,-7,-4,35,-3,-15,-8,-4
1,-3,-8,-31,-20,1,1,2
2,2,0,-7,-2,1,2,1
-9,-11,-7,-4,18,-4,-3,-4
2,1,4,-1,1,0,-2,1
2,2,13,53,13,1,1,2
-2,-2,-2,8,-9,-7,-2,-3
0,0,2,28,1,-2,-6,0
1,-1,-3,-35,-4,1,-3,-4
0,0,6,-12,-2,-1,-1,2
7,8,1,-23,6,17,13,2
-11,-17,-32,-3,23,-3,-5,-7
-1,-1,4,-29,-42,-13,-5,0
-1,2,5,-12,3,-4,-7,-4
2,3,5,42,14,1,-2,3
2,3,3,-6,0,8,10,1
2,4,16,89,49,10,7,1
-7,-10,-33,-77,-50,-5,-3,-4
-3,-2,0,54,22,-6,-4,-4
0,3,13,19,3,4,0,-1
1,6,15,60,27,12,6,0
-5,-6,-7,-26,-17,-10,-4,-2
-1,-2,0,-12,5,8,1,2
2,5,5,-20,-24,-4,-2,1
-1,-1,-1,-9,-10,-4,-2,-2
3,7,6,-38,-2,2,-1,2
2,3,6,19,16,6,3,5
-6,-13,-12,12,-9,-13,-8,-6
3,1,-13,-65,-12,0,-2,2
-1,-4,-3,24,1,-1,-1,-3
2,4,8,-10,-3,0,0,3
2,8,15,29,13,4,2,0
-1,-1,-6,-20,-2,-2,-2,-2
-3,-5,-8,-8,-3,-8,-8,-2
-11,-20,-24,-1,-14,-15,-12,-10
3,4,0,-24,17,8,4,6
-6,-9,-12,-12,-28,-11,-5,-2
3,5,15,36,37,6,3,0
2,2,0,-3,-7,1,-3,0
4,7,14,46,19,1,-1,1
-11,-16,-31,-63,-16,-13,-11,-11
2,3,1,14,12,6,2,-2
1,1,1,-6,3,2,0,5
0,0,8,19,-10,8,13,2
6,9,11,0,12,9,2,6
-3,-1,3,-33,-40,-12,-8,-5
-2,1,-10,-74,-11,-6,1,0
4,7,12,8,-8,0,-1,3
