ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-4,-4,-5,-85,-14,-4,-2,0
4,9,9,65,32,9,1,3
-6,-9,-27,-42,6,-6,-8,-4
6,11,-19,-48,-3,11,7,3
-2,-3,-22,14,4,2,0,-2
-4,-8,15,31,16,-4,-4,-1
8,17,26,-54,12,9,2,2
-6,-21,-31,-4,0,-3,-3,-2
0,5,-8,6,-24,-7,-5,-3
-2,-2,24,6,-4,0,1,-1
3,0,-7,36,12,5,0,0
5,16,27,-3,-8,-1,-1,0
0,2,4,-73,-7,5,2,-2
-2,-5,-61,51,-16,-4,-2,-2
-4,-8,24,-69,31,5,0,-2
-2,-5,-24,-20,6,-3,0,-1
4,14,38,-23,-17,-3,-1,1
-4,-13,-49,46,4,8,1,-2
1,0,0,-92,-26,-8,-1,2
-3,-7,-25,-7,3,0,-6,-2
0,2,22,29,38,6,7,2
2,1,2,-1,-7,2,0,0
5,12,14,32,-5,-1,-3,0
-2,2,16,-11,10,-1,1,2
2,-2,-8,34,-3,-1,-2,0
-3,1,34,-9,2,-2,1,-1
2,-1,-41,-35,-2,5,2,0
-1,3,6,23,9,-3,-1,0
5,17,42,50,2,6,4,1
-9,-33,-67,-20,-1,-6,-5,-4
-3,-1,16,12,2,-2,-2,-2
1,5,-1,7,-2,-4,-2,1
1,0,-1,-25,-10,-8,1,1
-1,3,11,42,-5,0,-3,-3
1,1,16,33,-4,12,8,2
-4,-4,31,88,0,-11,-3,-2
-4,-14,-29,14,-7,-7,-6,-2
8,15,5,-42,-4,2,0,1
-3,-8,-5,127,-14,-8,-4,-3
5,9,14,-88,14,9,5,4
-7,-15,-51,-2,-4,-4,-8,-3
-3,-5,8,3,5,-3,0,-1
0,5,0,-19,-25,-5,-3,-1
3,9,33,0,11,8,5,0
-5,-18,-21,13,1,-5,-6,-4
4,7,2,-19,-1,2,3,4
1,3,12,10,29,3,-2,1
2,3,12,44,-1,-2,-2,0
-2,4,8,-77,8,5,0,-2
-9,-16,-18,85,3,-8,-3,-6
