ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-8,-12,-16,19,19,-4,-5,-4
5,12,18,5,14,14,7,6
3,4,9,27,14,4,2,3
-2,-2,-13,-40,-22,0,-1,-5
-2,-2,0,31,9,-7,-5,-6
6,9,19,25,2,8,8,6
-1,-3,-9,-18,-2,-2,-4,-3
0,1,7,17,7,1,0,1
2,2,3,-31,1,4,-1,2
-3,-5,-7,22,-1,-7,-5,-5
1,3,1,12,25,8,4,0
-2,-3,2,-26,-31,-12,-1,-2
-5,-3,6,39,10,-1,-4,-4
-1,-3,-5,17,6,2,2,0
0,-2,-6,-14,-1,5,0,-1
4,4,8,19,3,5,1,3
1,-1,-7,-31,-23,-10,-1,0
-2,-3,5,14,21,0,-5,-1
-1,1,0,5,-18,1,4,-1
2,3,4,39,24,6,5,5
3,1,0,-29,1,1,3,2
-1,-6,-8,1,-10,-12,-11,-8
-2,-1,-1,1,-4,1,2,0
-1,-1,6,22,17,1,-2,-1
-6,-7,-9,-4,-8,-7,-6,-4
0,3,1,-29,-2,1,-3,1
1,-1,5,25,-22,-7,-2,-1
-3,-7,-8,-17,-16,-4,-1,-3
3,6,3,16,2,5,5,3
-3,-3,1,-3,-4,-2,-1,-1
-1,0,3,6,5,-5,-4,-1
-1,-3,-12,-12,0,-3,-3,-2
2,2,2,-7,-1,7,6,3
5,8,10,0,-7,6,3,0
2,2,2,-23,-11,-2,3,3
-1,0,0,52,6,-7,-7,-3
-1,-3,3,8,-1,-1,2,0
0,4,1,6,-10,4,4,1
-3,-4,1,15,19,-2,-3,-3
0,-1,-1,1,1,0,-3,-1
-3,-7,-21,-5,4,-3,-5,-4
5,10,24,-6,3,5,7,5
-4,-4,-4,2,8,-1,-4,-3
1,2,0,-1,-10,-1,1,1
5,8,16,-10,12,11,2,2
-6,-11,-28,-33,-15,-7,-2,-2
3,4,0,-33,-4,4,2,1
3,4,7,-5,10,6,-1,-2
-5,-6,-4,30,-1,-2,1,1
4,2,4,-5,-2,3,1,1
