ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-1,-7,12,13,20,6,3,2
3,16,19,41,2,5,1,2
-2,0,-10,-53,10,1,-1,-3
7,11,17,33,19,9,5,4
-2,-8,10,46,-25,-9,-7,-3
-6,0,22,63,-15,-17,-5,-4
4,2,11,22,65,30,10,3
-3,-7,-23,10,-14,-3,-4,-2
4,16,41,68,29,6,1,2
9,9,-6,47,26,15,8,6
-8,-6,21,25,-15,-20,-9,-7
-2,-7,-22,2,28,10,3,1
11,29,37,-79,-26,-5,2,4
-16,-39,14,73,1,-2,-6,-7
4,18,46,-14,-22,2,3,4
-4,-24,-62,-84,28,3,-3,-2
-11,-26,-50,41,-24,-12,-5,-5
7,28,41,-67,-15,1,1,3
5,12,26,22,17,10,4,3
-12,-16,-19,-9,-36,-21,-11,-6
-3,-5,23,8,34,2,-2,0
6,15,-20,-1,-7,3,4,2
1,4,22,69,42,8,2,-2
-11,-22,-39,-105,-73,-27,-10,-8
-2,-12,-37,11,36,12,4,0
3,5,20,84,-75,-7,-1,0
-3,-10,15,52,-39,-16,-6,-2
6,15,60,10,27,17,8,2
-9,-25,-61,-65,-20,-8,-5,-4
-1,1,13,13,3,-5,-5,-2
-2,-12,-92,-37,-14,-3,0,-1
4,12,55,31,5,-9,-3,1
0,5,1,85,9,2,3,1
3,3,7,-128,-27,0,0,0
-2,2,-65,-56,-16,-3,-4,-2
-1,18,93,93,67,10,5,2
-7,-30,-22,36,-36,-12,-6,-3
-8,-23,-88,-17,-14,-13,-6,-4
17,51,62,-12,65,27,11,11
-15,-25,-22,-41,-13,-14,-8,-8
1,9,-5,66,-45,-5,-2,-1
-2,-6,-24,-56,66,8,-3,-2
-1,-11,-1,25,-16,-7,1,-1
11,28,51,66,-8,8,3,3
4,8,32,1,47,5,3,1
-4,-5,-33,-5,-3,-2,0,-2
-3,-13,-36,-32,-12,-6,-2,-1
3,-1,-17,67,11,-7,-1,1
1,-1,14,-84,27,12,3,0
3,18,47,62,-46,-15,-5,-1
