ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
2,8,15,-25,5,10,3,-1
7,7,17,-29,1,10,7,3
-10,-14,-23,2,8,-12,-4,-4
3,6,5,14,4,5,4,4
0,0,4,-18,6,6,-1,1
3,4,-4,-21,-8,0,3,-5
4,3,12,53,23,7,2,1
4,8,22,20,-15,2,1,1
0,0,-9,-41,-50,-8,2,7
-7,-11,-11,56,18,-2,-8,-4
-7,-10,-13,0,-15,-13,-7,-5
1,3,6,3,14,5,3,0
4,6,9,-35,3,4,5,0
0,0,-3,-32,-25,-5,3,3
-4,-5,-1,2,28,2,-10,-7
-5,-14,-41,-109,-43,-14,-4,-2
-2,-6,-14,-13,-28,-11,-5,-6
-9,-8,-6,4,7,-7,-7,-4
17,16,11,-29,-19,15,12,6
0,1,2,7,12,-2,-5,-1
-3,-3,6,12,12,-3,-5,-1
3,5,2,30,14,9,5,3
-2,3,15,48,37,-1,-5,-3
-6,-13,-36,-30,-49,-8,-4,-4
-4,-5,0,71,19,-7,-2,-3
-2,1,15,127,43,3,-5,-3
-5,-6,-20,-8,-15,-4,-3,-1
5,12,51,119,50,19,10,6
-8,-11,-28,-2,-3,-13,-11,-6
3,4,0,-87,-29,-1,2,4
-5,-6,-13,-21,-14,-8,-6,-3
11,9,12,24,43,15,8,1
6,5,-3,-38,-14,6,7,6
-1,0,14,-6,-6,-5,-5,-4
-2,-2,-3,-6,-27,0,-2,-4
8,15,24,74,41,17,14,11
-5,-8,-19,-34,6,1,-5,-3
-6,-14,-22,-16,-21,-14,-7,-3
4,7,-1,11,6,11,8,5
-3,-7,-18,-17,-55,-21,-9,-5
-4,-2,-1,-59,-17,-4,-3,-2
-1,-1,-4,35,20,8,2,3
-8,-13,-26,8,4,-10,-10,-6
4,6,12,-41,-11,4,4,2
4,11,24,34,38,11,4,1
1,-2,-16,-64,-34,-5,-2,0
-5,-5,20,70,0,-10,-5,-5
-10,-10,-25,-82,-12,-3,-2,-5
2,1,-2,35,16,4,3,1
-3,-1,2,13,2,-2,-4,-4
