ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
12,26,24,47,36,18,9,5
-3,-3,36,12,34,10,-1,-3
4,5,-54,30,-12,-8,-1,2
-2,-4,31,56,-18,-14,-4,0
1,3,-1,-30,2,10,1,1
-3,-17,-57,-47,4,-2,-4,-5
-5,-3,-7,22,27,-3,-3,-5
2,3,34,-18,-39,1,3,3
2,7,6,-59,-34,4,3,1
-6,-20,-92,-33,11,2,-3,-4
-3,-1,23,-7,-53,-12,1,-1
4,15,40,32,24,1,3,3
4,4,-24,-18,34,9,3,1
0,0,6,-8,2,5,-1,-1
-1,3,19,104,-19,-13,-5,-4
2,-6,13,-37,-34,5,1,-3
-4,-18,-23,4,-7,-7,-4,-2
2,2,23,-31,59,7,5,0
-12,-32,-65,27,-40,-30,-14,-3
4,23,30,-42,23,9,2,3
0,-4,15,91,33,5,1,1
1,2,29,66,-14,0,-1,-2
6,9,-44,-26,59,29,10,6
-12,-19,2,-87,-18,-16,-10,-8
-4,-7,3,5,-43,-20,-8,-4
4,10,3,-36,13,18,6,3
-4,-10,-17,7,-40,-18,-9,-4
10,26,-8,8,80,35,14,8
-11,-27,-49,-47,-32,-19,-10,-8
-1,-8,7,2,-2,-3,2,2
2,7,16,45,9,4,1,0
-5,-15,-13,4,3,-11,-7,-3
15,43,58,61,41,25,11,7
-2,-8,10,-54,23,19,3,3
-8,-20,-47,-83,-29,-10,-4,-7
6,18,14,54,-6,2,3,4
-3,-1,-32,-8,4,-3,-3,1
-5,-9,11,6,-30,-16,-7,-4
0,2,28,55,7,0,-2,-2
2,-2,5,40,-6,4,2,3
-1,-1,-14,-38,1,-1,0,0
-2,-5,-1,-10,-45,-20,-7,-1
9,23,49,17,-5,9,4,3
-15,-37,-79,-49,9,-14,-10,-9
0,-2,-18,26,-5,1,3,2
-2,-2,-2,22,-16,-8,-3,-2
6,8,47,11,9,5,3,2
1,3,-15,-7,-15,-5,-5,-1
4,17,60,12,-23,-7,0,0
-4,-8,-77,-2,18,3,0,-4
