ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-1,-1,-14,-4,-7,2,3,2
-1,0,5,-11,1,1,-1,-3
-2,-3,-8,-23,-14,-5,-2,0
1,4,7,23,8,1,1,1
2,2,0,-6,12,3,5,1
0,-1,-3,10,-8,4,-4,1
8,12,25,51,29,15,8,5
-11,-18,-21,-21,-43,-19,-12,-9
-1,-1,2,-20,-6,2,0,0
0,0,-1,19,9,-2,0,1
2,6,15,16,7,12,7,3
3,7,8,-1,10,3,2,2
-2,-6,-10,27,-5,-11,-9,-5
-1,-2,0,-11,-1,0,2,-3
-4,-1,-14,-50,-21,-3,-2,-5
0,-1,2,-26,6,3,6,3
0,-1,4,32,11,4,1,-1
-2,-3,-9,-18,2,-7,-6,-1
-3,-8,-17,-22,-23,-3,-2,-2
0,-2,-1,6,5,5,2,0
2,5,12,9,9,7,3,3
2,0,-7,-17,-7,-2,-6,-3
-1,-4,-4,-26,-17,-8,-1,0
6,10,14,-3,3,12,5,5
-7,-10,-9,29,32,-2,-3,-4
-1,2,0,-18,-16,-4,-2,0
0,-4,-4,-11,7,3,1,1
4,3,6,32,-19,-4,-1,1
1,4,-2,-25,-6,4,1,0
-1,3,5,26,11,1,3,0
-1,-1,-1,17,7,-2,-1,-3
-2,-2,-6,5,12,-3,-4,-4
-3,1,3,-35,-21,-5,-3,-1
1,-2,3,37,-3,0,-3,0
2,3,6,-72,-9,9,8,4
-1,1,2,10,0,2,0,2
-3,-4,2,1,-4,-6,-3,-2
0,3,0,-22,3,0,-2,1
-3,1,1,12,3,-1,0,0
4,0,-2,-14,3,5,3,1
1,0,-8,-29,-5,-4,-1,1
2,4,14,19,-4,3,1,1
-7,-14,-20,15,-8,-10,-10,-4
-6,-5,-13,1,8,-4,-2,-2
2,3,1,-7,-5,5,2,2
0,-1,5,-4,-9,-2,1,4
0,1,4,84,26,-6,-4,-4
-6,-10,-22,-48,-39,-10,-8,-4
-6,-8,-13,22,-16,-4,-2,-3
-4,-1,-5,-44,7,7,4,0
