ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-3,-2,-11,-19,1,2,2,-1
-3,0,-2,-35,10,9,3,-1
2,4,9,6,11,-3,5,0
-7,-14,-27,-32,-27,-17,-15,-6
1,0,-11,-110,-31,-2,2,3
-1,1,4,29,14,1,-3,-2
0,4,8,-17,15,6,3,1
6,11,10,21,-11,11,6,2
-4,-5,-3,30,1,-15,-8,-1
2,3,2,-33,7,15,8,3
6,9,4,-50,-30,5,5,3
-3,-5,7,86,4,-8,-5,-5
-1,-1,-5,-34,-10,-9,-5,-2
-2,1,7,9,7,7,4,2
1,2,4,7,-14,4,1,1
0,5,7,28,24,11,3,-1
1,-1,-4,-27,-4,-3,0,3
-1,-2,3,51,37,-1,-10,-2
-4,-7,-11,-6,-15,-12,-1,-2
1,0,1,24,3,4,0,2
4,4,3,-19,-4,6,4,3
-5,-7,-21,2,13,-4,-5,-4
-5,-6,9,76,21,-6,-7,-3
-1,-3,-9,-31,-12,-7,0,0
5,8,14,49,24,18,7,3
-7,-11,-7,78,-7,-18,-10,-6
-3,-1,1,4,3,1,-4,-2
3,4,3,-12,-6,5,7,5
-1,0,-2,-21,6,1,-1,2
1,4,9,-8,3,6,5,3
4,1,-19,-81,-27,4,-2,1
-11,-14,-11,-22,-39,-32,-17,-8
0,3,6,21,-7,1,6,3
0,-2,-11,-67,-40,5,1,-1
4,-3,-5,-27,-10,-7,-3,-3
6,12,14,7,19,22,9,7
-7,-8,-15,6,-7,-12,-2,-10
-1,2,7,8,3,4,5,3
-2,2,1,-14,-14,-6,-4,0
-4,-8,-17,6,1,0,-3,-3
2,6,21,12,13,13,5,3
-5,-9,-23,-7,2,-9,-6,-4
-4,-7,-16,8,-1,-5,-3,-3
-2,0,-12,-80,-45,-9,-2,-4
-2,-6,-11,-47,-1,-6,-5,-4
5,4,7,-51,-8,8,7,2
0,1,1,29,28,2,0,1
-1,1,1,7,3,-4,0,2
-2,-2,4,49,19,4,-6,0
0,-1,1,9,-3,-3,1,-3
