ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1,-1,1,11,-5,4,3,1
0,-2,-2,-31,-13,-7,-6,-1
-3,-2,-5,-43,-14,-14,-5,-1
1,1,2,-8,6,5,-2,2
-3,-3,-6,-16,-2,-3,-1,0
-2,0,4,31,5,4,2,0
2,4,5,0,-11,8,5,1
9,17,21,47,28,6,3,3
-17,-23,-22,57,10,-15,-9,-9
-3,-4,-4,-23,3,3,-2,-1
0,0,-2,-10,4,3,1,0
0,1,-4,-7,-2,1,0,0
4,6,6,-16,-12,-1,-2,3
-4,-3,-3,17,8,-3,-2,-6
1,1,4,2,-7,-4,-2,-2
2,4,11,50,43,13,5,2
-4,-9,-27,-76,-69,-11,-4,-6
-6,-7,-11,27,14,1,-3,-1
1,2,13,4,-6,1,0,-1
-2,-4,-5,2,-14,-4,0,-1
4,5,13,13,29,14,1,1
3,4,3,14,-6,-11,-1,3
-3,0,-1,24,3,5,-1,-1
-9,-12,-19,-11,-15,-18,-7,-5
3,3,7,-19,23,6,7,2
3,5,5,-20,-3,14,2,-1
-10,-11,-4,66,4,-15,-14,-5
-4,-8,-20,-109,-53,-21,-4,-2
7,7,8,29,23,18,5,4
-5,-8,-9,-12,-6,-11,-7,-3
4,3,-2,-30,-3,5,5,0
-4,-4,-10,0,3,-3,-4,-5
-1,1,4,14,9,0,0,1
4,5,-2,-74,-20,6,3,1
-1,1,-4,2,6,4,1,0
-6,-6,13,30,1,-2,-4,-3
1,4,10,18,5,1,2,2
1,-3,-16,24,2,2,1,-2
0,1,11,5,-2,0,-7,-2
3,5,3,4,1,3,10,2
-7,-10,-9,-58,-24,-9,-6,-5
0,1,0,-35,-15,-5,-1,1
-5,1,-3,40,1,-9,-7,-2
2,-9,4,21,13,12,6,4
3,4,12,15,-4,2,0,1
-5,-7,-10,-1,15,-4,0,-2
2,4,2,19,4,10,2,1
-4,1,-6,-20,-10,-11,-5,-4
-4,-1,-1,49,36,6,-2,-1
-3,-6,-4,-12,4,-2,-5,-2
