ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-5,-9,-13,25,-22,-11,-6,-2
8,5,19,58,19,-11,-7,-2
2,0,-7,-39,-4,1,0,-1
-2,-2,-3,18,-4,3,2,2
-5,-2,3,11,8,-1,2,-1
-1,7,9,-2,1,5,2,-2
-2,0,3,12,-2,0,-3,-1
-6,-5,-8,-3,-8,-3,-3,-6
2,2,-3,-15,0,3,2,-1
-2,-2,-8,-22,-15,-1,-1,-2
7,10,13,5,7,7,5,4
-9,-17,-22,-33,-39,-24,-14,-7
2,3,9,45,26,10,6,4
-3,-2,-4,-14,-11,-3,2,1
2,1,-5,-45,-24,-6,-2,2
6,13,15,-37,4,13,6,3
-14,-17,-26,-20,-15,-23,-15,-7
3,2,3,18,12,2,-3,-1
1,2,2,-11,-7,6,5,0
4,4,4,-12,-2,4,4,5
-1,0,2,59,28,-1,-2,-5
-1,3,13,-44,11,-4,-4,-2
-5,-7,-3,7,-8,-11,-2,-4
4,1,0,10,-5,7,0,1
3,3,4,-47,-38,6,5,3
2,0,-3,15,-9,2,3,3
0,0,6,52,4,-3,-3,-3
-17,-21,-32,-41,6,-15,-12,-10
6,6,7,-24,-23,6,4,3
-17,-19,-10,102,68,-12,-13,-11
5,2,-2,-44,-23,-5,-3,1
4,11,23,40,28,10,5,0
-4,-5,-7,16,-11,-9,-5,0
2,2,2,-10,8,9,6,2
-3,0,-1,13,16,1,1,-2
-4,0,-3,-33,-1,-2,-2,0
8,2,-9,10,14,7,2,-4
1,3,12,-15,-10,6,4,5
-5,-11,-20,0,16,-7,-7,-6
4,4,6,-18,-27,5,5,4
-1,-3,5,44,31,-9,-5,-2
2,1,-13,-64,-38,1,2,2
-3,-4,-8,-35,-6,1,-3,-3
7,9,6,-45,-22,4,5,7
-10,-10,3,68,52,-1,-3,-3
4,5,4,-21,-17,5,6,2
-7,-6,4,91,31,-9,-8,-3
5,2,-7,-39,-23,6,6,4
0,2,7,10,2,-4,-3,-2
4,6,4,0,-13,4,3,4
